2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar,2024-Apr-May
0.162958016,0.157222231,0.502576934,0.174815983,0.26940522,0.276642552,0.274675418,0.278676747,0.32066856,0.355784233,0.401221709,0.471285449,0.466478961,0.472958889,0.49713419,0.503022552,0.527967384,0.584662191
0.163416846,0.157324685,0.157222234,0.17606091,0.268055621,0.294646698,0.330499766,0.330592037,0.315725089,0.374083977,0.371837515,0.434055507,0.466009373,0.472995804,0.501173341,0.504765387,0.527763773,0.581935933
0.570909577,0.157222231,0.161146262,0.188536338,0.252379842,0.295400968,0.274983133,0.327035106,0.348355848,0.397051784,0.393797638,0.434046653,0.466561183,0.478839225,0.505528373,0.523732541,0.527763773,0.570765892
0.163132733,0.157401999,0.507978861,0.187032905,0.252448089,0.294701343,0.248505922,0.327057483,0.268278422,0.357981537,0.39993038,0.471285449,0.466552929,0.472792936,0.52838316,0.515555633,0.52798361,0.572716342
0.163874718,0.157319411,0.172440038,0.174815983,0.252448089,0.294630984,0.276707976,0.32828477,0.32066856,0.373648295,0.372270015,0.434053743,0.465335783,0.472970903,0.513474285,0.515822995,0.523013723,0.570840518
0.164424367,0.157954817,0.157222234,0.17514915,0.253588184,0.331643198,0.305432623,0.279873139,0.269890378,0.376499164,0.401221709,0.433936381,0.465531516,0.527467343,0.500459161,0.516445616,0.526621988,0.583554914
0.185336275,0.166257956,0.157222234,0.177549115,0.253856157,0.295555706,0.276249117,0.327596113,0.320589002,0.408961805,0.393797638,0.471272705,0.46644284,0.440810202,0.47943689,0.502987397,0.526256261,0.584662191
0.16295428,0.166927657,0.171857067,0.174793025,0.252525304,0.299608895,0.276050104,0.331231877,0.31576823,0.406421223,0.401221709,0.467658255,0.466157154,0.500051339,0.531508153,0.515667871,0.531939546,0.584365698
0.16354157,0.156741005,0.157222234,0.175274555,0.253098517,0.318067525,0.275853745,0.330534763,0.267997852,0.403913205,0.399644116,0.470750994,0.467038118,0.511603318,0.505359075,0.513793332,0.527622764,0.585166779
0.163428026,0.157547908,0.158294217,0.175063327,0.250735037,0.318067525,0.247906217,0.32709226,0.32066856,0.358383966,0.401221709,0.433394984,0.433102525,0.473303637,0.53000327,0.516445616,0.530103586,0.580209696
0.163418901,0.157250796,0.157266059,0.175285423,0.329972051,0.359373449,0.279105629,0.326294814,0.320542911,0.373357502,0.401387038,0.433913729,0.467119116,0.470575252,0.499651591,0.516241269,0.5321148,0.573825793
0.162958016,0.18498271,0.17261475,0.177166792,0.268181285,0.294646698,0.248003846,0.330584223,0.32066856,0.403229394,0.395780819,0.471285449,0.466701857,0.472805555,0.506986921,0.516445616,0.527779415,0.584771963
0.163445957,0.191723183,0.157755601,0.179006046,0.280106535,0.360141274,0.247626103,0.280002896,0.323140832,0.373648295,0.352029959,0.447339223,0.458469768,0.496782715,0.501243457,0.486783713,0.52740559,0.57266463
0.162906048,0.156833451,0.156851109,0.174923509,0.278592603,0.318568482,0.275723937,0.279873139,0.319388231,0.367589651,0.401394524,0.470895081,0.466508091,0.456061057,0.505859816,0.505931657,0.527694471,0.584439122
0.177452685,0.157518896,0.157100654,0.175677391,0.269214652,0.296345671,0.276735216,0.281495226,0.315503863,0.323522891,0.399644116,0.468461078,0.464079537,0.472678896,0.512625158,0.521196779,0.525973465,0.573790463
0.162958016,0.157679333,0.157431384,0.17351637,0.266858566,0.35403836,0.275723937,0.280269742,0.320643618,0.373648295,0.401221709,0.447942935,0.466454414,0.47890687,0.497756375,0.515007262,0.526561166,0.571110183
0.163016294,0.179590463,0.157395789,0.183874289,0.338773258,0.300105844,0.330291333,0.330528855,0.315549448,0.374183261,0.401215777,0.471285449,0.466708063,0.472601904,0.511738072,0.502928285,0.527755631,0.574375519
0.165074499,0.160501478,0.156917492,0.175555632,0.338761375,0.354572662,0.248010997,0.279038004,0.267838324,0.333053508,0.394449292,0.438819194,0.466478961,0.472324573,0.49731195,0.499169155,0.52697318,0.583884082
0.162958016,0.157302465,0.157085009,0.19012339,0.251989623,0.322305075,0.281587496,0.333335685,0.269680439,0.356392711,0.401221709,0.447841102,0.447243085,0.496419374,0.497243805,0.511475718,0.52659657,0.584771963
0.163419716,0.158876025,0.172265375,0.193348232,0.251494863,0.299491843,0.319953605,0.277902713,0.267845672,0.355784233,0.372338318,0.471478988,0.471814449,0.479557359,0.529144523,0.487875271,0.526847643,0.570765892
0.163760912,0.156795935,0.158432663,0.17468485,0.336704045,0.294920744,0.27561649,0.267821032,0.320923454,0.356102953,0.401865443,0.470727309,0.465703208,0.472759159,0.478677069,0.497521314,0.518938175,0.585143879
0.162958016,0.157440918,0.157010261,0.191027348,0.253028558,0.296345671,0.275495855,0.280047733,0.320439664,0.355741652,0.401163998,0.471246539,0.466478961,0.472801274,0.526301433,0.514899999,0.528712075,0.574392599
0.163076253,0.156127828,0.157824818,0.191102891,0.253460564,0.295400968,0.275379662,0.278968539,0.323111536,0.331149961,0.399445957,0.439281429,0.466998847,0.495776302,0.505105243,0.497603732,0.526093066,0.578948306
0.16618973,0.157222231,0.156564726,0.176966614,0.276788165,0.336608898,0.276960019,0.327112915,0.267868292,0.373648295,0.399504555,0.439025239,0.466389307,0.472958889,0.474116567,0.496900787,0.512683163,0.584662191
0.336777948,0.157199652,0.157222234,0.344212772,0.26794917,0.319178162,0.275556945,0.280949011,0.268094344,0.356196534,0.401221709,0.438819194,0.466310416,0.473130661,0.531032083,0.517023641,0.522913263,0.584567436
0.327934281,0.157838234,0.1570139,0.175288382,0.270672521,0.354198326,0.276041796,0.281452659,0.315725089,0.356127977,0.399902729,0.420820437,0.452021369,0.436499927,0.506824737,0.515822995,0.526814343,0.584204572
