2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar,2024-Apr-May
0.162958006,0.157222218,0.161146316,0.176941558,0.234473797,0.330014604,0.251895671,0.324617561,0.311458923,0.307170592,0.400879922,0.422786883,0.428144497,0.477029851,0.505478871,0.529658559,0.539022716,0.561762687
0.590988238,0.157401941,0.172440053,0.176941558,0.233657735,0.29854669,0.311255525,0.316559782,0.311402252,0.350017922,0.372732456,0.437779992,0.439169351,0.455858132,0.47915368,0.501034349,0.53272642,0.562403128
0.163416837,0.157324647,0.157222218,0.176809599,0.241182909,0.344137599,0.25323054,0.270066411,0.318305772,0.374364402,0.400709746,0.422722341,0.515445672,0.47728166,0.479567465,0.52895196,0.538037675,0.562642468
0.163132708,0.15731941,0.157222218,0.190490328,0.24168842,0.344258274,0.253364354,0.268322791,0.263754329,0.374364402,0.400709746,0.400331632,0.51004241,0.478962538,0.470146379,0.538903525,0.538983598,0.551287201
0.164424389,0.157954875,0.171857038,0.179417596,0.235879414,0.30082443,0.30595005,0.317041775,0.318285229,0.374714771,0.383643698,0.400320924,0.509211613,0.528992564,0.485730332,0.538903525,0.538983598,0.562722787
0.185336297,0.184242009,0.157222218,0.176523841,0.25348923,0.27952651,0.252179586,0.324624491,0.318305772,0.405047617,0.403853074,0.446500891,0.512514669,0.518757306,0.522167128,0.500459006,0.537044187,0.551920561
0.162954219,0.157250797,0.158294263,0.179686269,0.334397031,0.358872351,0.253037468,0.268124385,0.265184757,0.402816628,0.439846995,0.437477544,0.517592247,0.51788136,0.52981041,0.537949581,0.53846368,0.55843258
0.16354157,0.184982749,0.157266055,0.176783496,0.329190645,0.278714641,0.251877337,0.268328462,0.311474723,0.391303321,0.311634054,0.446430931,0.515445672,0.522781879,0.476583051,0.538793217,0.539559739,0.553100015
0.163427989,0.191723227,0.172614732,0.190715518,0.331349391,0.3586555,0.255450719,0.270344002,0.318060309,0.311451453,0.317406793,0.41713839,0.510994503,0.531756999,0.523006913,0.536182514,0.52845986,0.553018854
0.163418883,0.156833438,0.157755624,0.196321442,0.243452071,0.321353957,0.25323054,0.268328462,0.311345371,0.374364402,0.311507291,0.400017605,0.418638176,0.528992564,0.522044711,0.537678118,0.538746121,0.562383102
0.163445921,0.15751889,0.156851127,0.177160114,0.237970678,0.28053112,0.253728488,0.268460559,0.263624299,0.350231239,0.398657281,0.422804004,0.445934136,0.525120494,0.523257771,0.537678118,0.542875503,0.561811427
0.162906012,0.157679285,0.157100623,0.191765777,0.334456002,0.29854669,0.311289637,0.271284385,0.318329297,0.350289324,0.39287325,0.424235904,0.424665823,0.197723002,0.531950757,0.538849267,0.539022716,0.562857992
0.177452688,0.160501453,0.157431383,0.178275771,0.335485869,0.334714813,0.252476718,0.268479237,0.263824518,0.350136391,0.401074384,0.400253523,0.421674168,0.206640836,0.52981041,0.538903525,0.539119611,0.558538781
0.163016258,0.157302443,0.156917521,0.179764051,0.240407278,0.35882332,0.251959698,0.268328462,0.263760186,0.374899716,0.400036053,0.438306348,0.418330779,0.479329348,0.527438308,0.538577888,0.539573941,0.556127437
0.165074448,0.158876076,0.17226538,0.188006507,0.334072268,0.276758365,0.254934365,0.268913165,0.311402252,0.374364402,0.372122809,0.426099788,0.445642369,0.478640877,0.505262757,0.53793951,0.535635693,0.55614794
0.163419769,0.156795958,0.158432625,0.345394279,0.33490832,0.321353957,0.251701328,0.268455899,0.311268925,0.307170592,0.400709746,0.428651685,0.426007772,0.476591152,0.507472071,0.537194564,0.537954204,0.549780354
0.163760944,0.157440903,0.157222218,0.177996196,0.239733446,0.321243838,0.252011883,0.265664237,0.343750965,0.307019248,0.400833804,0.436401249,0.42153765,0.499580783,0.475339905,0.528011559,0.538983598,0.550034369
0.163076242,0.15612781,0.157013843,0.177943804,0.24168842,0.359099395,0.339696432,0.265306005,0.344171582,0.350076392,0.400517637,0.448181362,0.476608452,0.455764949,0.477880853,0.539294752,0.538983598,0.560298164
0.16618973,0.157222218,0.157222218,0.17599786,0.334591713,0.358843057,0.251664122,0.266407433,0.263754329,0.349541353,0.400113173,0.416633619,0.481579189,0.484550382,0.477670412,0.538903525,0.542976151,0.560373629
0.33677793,0.157199621,0.159259922,0.188368829,0.334856385,0.270630741,0.251710718,0.268322791,0.30786361,0.350099487,0.411715509,0.424180421,0.448953242,0.443166263,0.470069106,0.538793217,0.539157091,0.551958632
