2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar,2024-Apr-May
0.203109918,0.186392509,0.304386054,0.196338778,0.25807983,0.358306867,0.354560414,0.397105527,0.536935719,0.609441501,0.72051933,0.814971622,0.814683821,0.819933215,0.851250622,0.853569728,0.877509639,0.924197664
0.202352686,0.187042354,0.186392509,0.198192127,0.25595192,0.295649572,0.321735439,0.558984798,0.526028104,0.643180343,0.641141026,0.764713321,0.813823121,0.820021652,0.857103019,0.862186637,0.874963224,0.926143669
0.91720003,0.186392509,0.187634271,0.200451528,0.28111995,0.299273574,0.357897927,0.549924779,0.601627445,0.696840516,0.704668341,0.764496755,0.814674294,0.828355727,0.867756198,0.877554833,0.874963224,0.923111437
0.203470966,0.186587655,0.278056326,0.206540261,0.281246089,0.295563674,0.280719152,0.549773176,0.370562748,0.615826055,0.71632109,0.814971622,0.814718817,0.818859901,0.887897104,0.859728477,0.875006089,0.918581674
0.212624281,0.186512669,0.209263697,0.196338778,0.281246089,0.295689892,0.355730579,0.551949245,0.536935719,0.642540155,0.641687992,0.764501158,0.813275009,0.819725987,0.871981346,0.86008206,0.886596133,0.924004435
0.202172859,0.186118846,0.186392509,0.196679847,0.28275226,0.286721099,0.335864553,0.401810726,0.376116314,0.64792974,0.72051933,0.764147537,0.813404588,0.892441178,0.859235069,0.87640872,0.889937643,0.923074059
0.22121706,0.196626527,0.186392509,0.198443729,0.28138685,0.295861988,0.354219168,0.550287473,0.536893766,0.724194864,0.704668341,0.814975532,0.814676847,0.775766239,0.830936723,0.853481673,0.882048004,0.924197664
0.203166393,0.197006519,0.211083643,0.196441143,0.280927609,0.29564322,0.358194535,0.559568672,0.525848915,0.717537614,0.72051933,0.810130085,0.81393142,0.856915911,0.89245432,0.859527987,0.88842424,0.924218496
0.202584952,0.186502753,0.186392509,0.196423464,0.284363433,0.27262312,0.359802786,0.558957479,0.370192492,0.712388223,0.715945829,0.813850807,0.815273724,0.86783867,0.86734893,0.872956093,0.874681675,0.925344409
0.20776291,0.186196463,0.186614848,0.196567399,0.282871721,0.27262312,0.282319168,0.549807344,0.536935719,0.612468067,0.72051933,0.763738286,0.765787834,0.820400609,0.896946812,0.87640872,0.887279049,0.926811541
0.203338085,0.187026701,0.186424872,0.198458826,0.292459856,0.294695887,0.368502229,0.549829402,0.536699966,0.640739977,0.720919485,0.763902609,0.81555848,0.816537388,0.854444807,0.855739153,0.889813197,0.919758972
0.203109918,0.212130776,0.212903204,0.198385804,0.256461639,0.295649572,0.279005002,0.559048183,0.536935719,0.710884263,0.709248141,0.814971622,0.815198978,0.82020737,0.861805902,0.87640872,0.874672708,0.924536867
0.202970171,0.19978774,0.186588941,0.196723914,0.260735829,0.294685057,0.280507318,0.398414843,0.540079284,0.642540155,0.611437335,0.781562387,0.804437812,0.849656952,0.857106645,0.832701289,0.87441703,0.918582942
0.203271825,0.186598669,0.186794163,0.196447849,0.264465401,0.303359374,0.357770181,0.401810726,0.530127884,0.629110357,0.720680731,0.814259212,0.81466079,0.79885315,0.86926334,0.85622839,0.874742813,0.924613497
0.224226985,0.186667561,0.186191032,0.206286931,0.259973796,0.297646831,0.35496654,0.40883368,0.52565621,0.520187242,0.715945829,0.809433055,0.809329853,0.81942385,0.870412265,0.870051051,0.872520697,0.91839527
0.203109918,0.18649746,0.186283896,0.199682589,0.279696327,0.267456487,0.357770181,0.403062783,0.536579171,0.642540155,0.72051933,0.783259475,0.814178945,0.828974578,0.8525243,0.875018532,0.872732801,0.923711119
0.203237648,0.293310059,0.186469986,0.218897263,0.273229939,0.295328205,0.321673231,0.558816917,0.526041972,0.643369219,0.720403687,0.814971622,0.814455492,0.819270838,0.866527146,0.853586972,0.874896295,0.920389993
