2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec
0.154179211,0.176422884,0.154179211,0.154252983,0.191767357,0.191026413,0.241299019,0.300537058,0.302212101,0.33939944,0.419816247,0.181373846
0.154955485,0.176633677,0.154179211,0.197419006,0.153891547,0.191082657,0.244579537,0.300358155,0.307622982,0.339430438,0.389961681,0.296745658
0.155320833,0.176375446,0.154367752,0.155009787,0.19390343,0.191844325,0.241431423,0.300358155,0.33939944,0.340176113,,0.437904454
0.155184666,0.177208404,0.246351612,0.154161605,0.157459645,0.240571717,0.241299019,0.307760791,0.302039501,0.339112568,,0.426251172
0.154700228,0.175948047,0.155429615,0.154135959,0.154033473,0.191082657,0.245860505,0.289290735,0.306229868,0.339718924,,0.454489348
0.153931036,0.176809916,0.153207684,0.154643277,0.172284442,0.287627755,0.241231876,0.308053494,0.307622982,0.307600086,,0.445806339
0.154836066,0.175075728,0.168196179,0.157459645,0.171004989,0.241299019,0.242508329,0.300358155,0.307709278,0.339122781,,
0.154991543,0.175912837,0.154955485,0.15397671,0.198857326,0.193053896,0.242041767,0.300342099,0.340578016,0.339259108,,
0.154273699,0.188919529,0.168196179,0.155302391,0.193660005,0.366486873,0.241299019,0.300327865,0.302090598,0.339484382,,
0.153832632,0.187688138,0.168196179,0.154179211,0.175611681,0.240571717,0.24207138,0.302131545,0.339259108,0.307600086,,
0.154179211,0.189813608,0.168196179,0.154398915,0.154335364,0.191230241,0.241499172,0.338013248,0.339377067,0.341373483,,
0.250445253,0.188919529,0.168196179,0.155126558,0.347335111,0.346892761,0.241299019,0.242244709,0.33939944,0.339553713,,
0.154971106,0.188541867,0.167875056,0.154119688,0.299480239,0.191486881,0.241519356,0.242117286,0.33939944,0.339566197,,
0.156682446,0.191956684,0.169060185,0.171004989,0.240270822,0.19120552,0.241480511,0.242005639,0.339484382,0.339331844,,
0.155728975,0.188629069,0.16789,0.172162185,0.316575545,0.298316404,0.241299019,0.242164213,0.33943715,0.339665775,,
0.155071517,0.190019261,0.168970285,0.156297789,0.191918721,0.241081805,0.241518206,0.242134656,0.382028738,0.339393556,,
0.160138017,0.188455205,0.16792854,0.154228956,0.316772465,0.191082657,0.241299019,0.242134656,0.339967271,0.340018809,,
0.158201406,0.185777748,0.168370736,0.154815681,0.154179211,0.240270822,0.241299019,0.242117286,0.307579012,0.335046882,,
0.154179211,0.178441769,0.168755406,0.168196179,0.191763394,0.299480239,0.242443892,0.242117286,0.339576267,0.340016859,,
0.153852452,0.186655564,0.168196179,0.154268896,0.20137371,0.19527357,0.241567954,0.242796419,0.339427079,0.339306604,,
0.154531591,0.194850969,0.169787862,0.172628157,0.304049757,0.191082657,0.241565384,0.242117286,0.341171206,0.307674966,,
0.168196179,0.188919529,0.168995546,0.154179211,0.192011214,0.361914414,0.241556572,0.242117286,0.33925897,0.33886872,,
0.167875056,0.188476696,0.168403493,0.154527205,0.173746331,0.19118015,0.241247883,0.243244705,0.339665775,0.339535819,,
0.168970285,0.189907857,0.169787862,0.154566543,0.287627755,,0.241393369,0.243893051,0.339112568,0.302151028,,
0.168196179,0.193440349,0.170033159,0.191082657,0.154955485,,0.241299019,0.24208234,0.339304618,0.36551722,,
0.168233307,0.188592003,0.168607715,0.154160449,0.191546206,,0.241299019,0.242117286,0.307581614,0.339388086,,
0.169826822,0.188802955,0.168233307,0.153563623,0.156638572,,0.241189665,0.242011629,0.339319796,0.339313275,,
0.168142204,0.189567712,0.169004069,0.191032089,0.191724098,,0.241299019,0.245302616,0.340393701,0.34028743,,
0.169060185,0.217076642,0.169211948,0.155839489,0.154161605,,0.240453682,0.242157505,0.341373483,0.339472365,,
0.16789,0.188404199,0.169204671,0.15397671,0.183468147,,0.24204075,0.245810158,0.302171165,0.339657427,,
0.155068478,0.196399628,0.16854759,0.158558574,0.347989007,,0.243566085,0.242444788,0.302212101,0.339346578,,
0.167121019,0.229420551,0.168208804,0.153932707,0.154462391,,0.24064953,0.242425492,0.302158673,0.339757743,,
0.168196179,0.18959328,0.169204671,0.154179211,0.179384654,,0.240940305,0.244755976,0.302330891,0.33939824,,
0.168534913,0.17816061,0.169826822,0.337438708,0.335205599,,0.241383321,0.242161185,0.302212101,0.33939944,,
0.168860688,0.243840756,0.168336647,0.154108475,0.299171757,,0.240571717,0.242188269,0.302212101,0.33939944,,
0.168469711,0.177126344,0.168044738,0.154335364,0.192156598,,0.24521447,0.242133989,0.302223517,0.339340985,,
0.204050263,0.207963165,0.167539065,0.154179211,,,0.240571717,0.242139414,0.301891789,0.339397285,,
0.169004069,0.176422884,0.168142204,0.154176283,,,0.240698381,0.242082503,0.302212101,0.339967271,,
0.170822107,0.175870567,0.168196179,0.167875056,,,0.241360523,0.243362368,0.303324171,0.33939944,,
0.219731203,0.175846165,0.168323654,0.169787862,,,0.241594079,0.242114594,0.302117067,0.341450757,,
0.168073195,0.175779596,0.16878129,0.168970285,,,0.240270822,0.242117286,0.307819581,0.340192641,,
