2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,200-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec
0.202008872,0.215039958,0.202008872,0.20272826,0.270755368,0.266534888,0.372535164,0.505688166,0.50677706,0.59660168,0.747673518,0.230451396
0.201894658,0.21481211,0.202008872,0.244383644,0.202226222,0.266413554,0.376654564,0.505498568,0.525647528,0.596632726,0.699507448,0.273603962
0.202031032,0.214639476,0.20218764,0.203723272,0.268385878,0.267581522,0.372674306,0.505498568,0.59660168,0.598277166,,0.77247465
0.210204058,0.215641944,0.243185718,0.203760722,0.20343651,0.370025956,0.372535164,0.52639982,0.506605522,0.595886822,,0.76328768
0.201785904,0.223093534,0.202382628,0.202561482,0.202283108,0.266413554,0.37479016,0.44664032,0.511400258,0.597641984,,0.801156672
0.201802058,0.215461238,0.213685254,0.204454288,0.244304412,0.306128878,0.3725601,0.526693794,0.525647528,0.525412832,,0.784978956
0.202359646,0.214529868,0.213415838,0.20343651,0.229001096,0.372535164,0.37333794,0.505498568,0.525806528,0.595929728,,
0.202515364,0.214736366,0.201894658,0.20332202,0.274200056,0.269518468,0.37323622,0.505547938,0.598608794,0.59623955,,
0.202145378,0.225935524,0.213415838,0.206331092,0.273666824,0.279614824,0.372535164,0.505482138,0.506553986,0.596634208,,
0.20236893,0.225433542,0.213415838,0.202008872,0.219964504,0.370025956,0.373170122,0.50467668,0.59623955,0.525412832,,
0.202008872,0.226381358,0.213415838,0.202547508,0.211702494,0.266955836,0.373012418,0.59472076,0.596548678,0.601391524,,
0.246877866,0.225935524,0.213415838,0.202635852,0.253626862,0.25274552,0.372535164,0.374344578,0.59660168,0.596454528,,
0.20170885,0.226203902,0.21304081,0.202196246,0.28636159,0.267595962,0.372798474,0.374069034,0.59660168,0.59658264,,
0.203406388,0.22797434,0.214145588,0.229001096,0.36916815,0.266222178,0.37268959,0.37386347,0.596634208,0.596328748,,
0.202514954,0.225703914,0.213378474,0.244195756,0.264992628,0.285205676,0.372535164,0.374163476,0.596604224,0.597157274,,
0.20323067,0.22649992,0.21374933,0.203312628,0.270818296,0.370551664,0.373363188,0.37416694,0.67180695,0.596546928,,
0.205516546,0.225826706,0.214602212,0.202726314,0.265031688,0.266413554,0.372535164,0.37416694,0.598117946,0.597969826,,
0.213669542,0.235797996,0.213445984,0.20373649,0.202008872,0.36916815,0.372535164,0.374069034,0.525658202,0.58708505,,
0.202008872,0.215621274,0.213627508,0.213415838,0.271132734,0.28636159,0.375258584,0.374069034,0.59720102,0.59713391,,
0.202092574,0.225078806,0.213415838,0.203498126,0.27350215,0.255452062,0.37281263,0.374829686,0.59666374,0.596287328,,
0.202170156,0.237481924,0.217457184,0.245391604,0.28532299,0.266413554,0.373116358,0.374069034,0.599636748,0.525678704,,
0.213415838,0.225935524,0.212586518,0.202008872,0.271003172,0.292045068,0.372774678,0.374069034,0.596363018,0.595796388,,
0.21304081,0.225843106,0.213565086,0.202313742,0.22021451,0.266413612,0.37255944,0.376237056,0.597157274,0.596614546,,
0.21374933,0.226217458,0.217457184,0.203255444,0.306128878,,0.37261744,0.377056804,0.595886822,0.50661794,,
0.213415838,0.227702692,0.212999696,0.266413554,0.201894658,,0.372535164,0.373992228,0.596382954,0.637009496,,
0.213744396,0.22583741,0.213010146,0.201767268,0.271913088,,0.372535164,0.374069034,0.525907974,0.596609576,,
0.214790132,0.230157052,0.213744396,0.20317436,0.211469926,,0.372487574,0.374020794,0.59635876,0.596331522,,
0.213366118,0.226719778,0.213328002,0.267078728,0.270795674,,0.372535164,0.378013522,0.59861233,0.598006988,,
0.214145588,0.383482112,0.213412112,0.20606946,0.203760722,,0.370193794,0.374206382,0.601391524,0.59639941,,
0.213378474,0.22551016,0.213739138,0.20332202,0.24744507,,0.372164004,0.377109548,0.506925374,0.59700417,,
0.202440568,0.255320582,0.213804506,0.204172414,0.25310267,,0.37111631,0.374503708,0.50677706,0.596563412,,
0.212780678,0.266137784,0.213404424,0.203552724,0.20216865,,0.370048744,0.374464224,0.506832074,0.59726161,,
0.213415838,0.226144004,0.213739138,0.202008872,0.24929394,,0.36750055,0.375958122,0.506814038,0.596576452,,
0.21367659,0.214905534,0.214790132,0.258157852,0.279934512,,0.370790256,0.374212908,0.50677706,0.59660168,,
0.213736976,0.274427898,0.213374778,0.202767288,0.286002584,,0.370025956,0.37414597,0.50677706,0.59660168,,
0.213433556,0.215843036,0.213460958,0.211702494,0.27135731,,0.37608311,0.374076298,0.506835728,0.596328194,,
0.369108406,0.231791916,0.214193512,0.202008872,,,0.370025956,0.374122016,0.506032088,0.596540536,,
0.213328002,0.215039958,0.213366118,0.202236,,,0.370018806,0.374051854,0.50677706,0.598117946,,
0.237073092,0.21567636,0.213415838,0.21304081,,,0.372516912,0.37283332,0.509262756,0.59660168,,
0.258462972,0.214655504,0.214455502,0.217457184,,,0.371984792,0.374033108,0.506728448,0.599255948,,
0.213446976,0.214813388,0.213243186,0.21374933,,,0.36916815,0.374069034,0.521015012,0.598420708,,
0.230451396,0.22573492,0.213865214,0.213415838,,,0.37473558,0.374494316,0.525658202,0.525208206,,
0.213415838,0.225820722,0.21346979,0.213744396,,,0.270755368,0.374250304,0.525741868,0.63602456,,
0.201856038,0.223194374,0.21367659,0.214790132,,,0.370025956,0.37428456,0.525958296,0.596692496,,
0.201894658,0.21816994,0.214768706,0.213366118,,,0.379191788,0.374896324,0.506882758,0.59660168,,
0.201737344,0.374321912,0.213950714,0.214145588,,,0.36916815,0.374069034,0.59662232,0.596789834,,
0.201894658,0.235345284,0.212954264,0.213415838,,,0.372903428,0.374069034,0.58922811,0.597007684,,
0.202008872,0.23370299,0.213446976,0.213378474,,,,0.374048084,0.506742494,0.596567186,,
0.199606078,0.225935524,0.213542582,0.212780678,,,,0.374028754,0.592329398,0.59543433,,
0.201105772,0.21523021,0.211571196,0.213415838,,,,0.374135552,0.512598968,0.59636265,,
0.201737344,0.21578943,0.21377586,0.21367659,,,,0.374016978,0.51173738,0.596382954,,
0.201789778,0.219598672,0.213718642,0.213736976,,,,0.374019514,0.512451906,0.596609552,,
0.201894658,0.27454596,0.213415838,0.213433556,,,,0.374344578,0.525734612,0.57951905,,
0.201894658,0.21481211,0.213140484,0.369108406,,,,0.380152734,0.57951905,0.59660168,,
0.202229212,0.216234072,0.25823815,0.213328002,,,,0.374038822,0.501300066,0.596649594,,
0.202699662,0.215179374,0.213415838,0.237073092,,,,0.374546432,0.596547818,0.598251748,,
0.202292094,0.225007366,0.213232568,0.258462972,,,,0.37417276,0.526240168,0.59660168,,
0.202007898,0.217469074,0.216171904,0.213446976,,,,0.374163476,0.583853178,0.596028244,,
0.210704804,0.215137532,0.212780678,0.230451396,,,,0.374069034,0.525286706,0.598490204,,
0.201105772,0.233823528,0.21379267,0.213415838,,,,0.374586588,0.59641364,0.579943066,,
0.20230039,0.225883624,0.213415838,0.201894658,,,,0.374374468,0.59651418,0.601932308,,
0.202008872,0.214891786,0.213770294,0.201894658,,,,0.373957634,0.527297726,0.60348394,,
0.202716718,0.21503614,0.216700432,0.202092574,,,,0.37427231,0.597125776,0.596692918,,
0.202979144,0.21481211,0.213415838,,,,,0.37411353,0.593167666,0.58922811,,
,0.214858928,0.213415838,,,,,0.374239216,0.596559268,0.59660168,,
,0.223553782,0.215880876,,,,,0.374289564,0.596679194,0.59660168,,
,0.215628776,0.213186966,,,,,0.374069034,0.58708505,0.597907432,,
,0.217275894,0.213415838,,,,,0.374309274,0.598124684,0.62102904,,
,,0.21422954,,,,,0.374069034,0.525735152,0.59666374,,
,,0.216022612,,,,,0.374069034,0.5882607,0.598769594,,
,,0.21375082,,,,,0.374069034,0.525135338,0.598203076,,
,,0.214519934,,,,,0.374170914,0.59660168,0.59900029,,
,,0.21306738,,,,,0.374057156,0.596995824,0.59660168,,
,,0.21301179,,,,,0.374126248,0.525653458,0.59660168,,
,,0.212942972,,,,,0.37410744,0.62102904,0.59660168,,
,,0.21705543,,,,,0.37451412,0.593613186,0.596547818,,
,,0.216003642,,,,,0.375803096,0.59660168,0.59668597,,
,,0.213927186,,,,,0.374094768,0.59660168,0.59660629,,
,,0.213415838,,,,,0.37429654,0.596041772,0.596700196,,
,,0.214754626,,,,,0.374351706,0.596882232,0.598855188,,
,,0.212780678,,,,,0.374149378,0.592611918,0.59648337,,
,,0.21358891,,,,,0.374069034,0.59660168,0.597438766,,
,,0.213351984,,,,,0.375716936,0.525648458,0.598124684,,
,,0.21337687,,,,,0.376113304,0.596632738,0.59643493,,
,,0.213415838,,,,,0.374199244,0.59660168,0.596556152,,
,,0.213415838,,,,,0.37424557,0.596454528,0.59733833,,
,,0.212944734,,,,,0.37425901,0.596554568,0.596330256,,
,,0.213685072,,,,,0.374020864,0.59660168,0.596432818,,
,,0.213415838,,,,,0.375036816,0.596563672,0.596344664,,
,,0.214219746,,,,,0.374197756,0.596682568,0.59708038,,
,,0.32865357,,,,,0.374069034,0.597788812,0.609576566,,
,,0.213360224,,,,,0.374344578,0.598787234,0.59621462,,
,,0.213415838,,,,,,0.596740478,0.596643504,,
,,0.212364474,,,,,,0.597969826,0.596565618,,
,,0.213415838,,,,,,0.622128668,0.596647348,,
,,0.214336684,,,,,,0.528194854,0.59660168,,
,,0.21376952,,,,,,0.598420708,0.597858212,,
,,0.213415838,,,,,,0.595796388,0.59660168,,
,,0.21329039,,,,,,0.596511606,0.59660168,,
,,0.213415838,,,,,,0.596014348,0.526015286,,
,,0.213520746,,,,,,0.596458442,0.596797534,,
,,0.213415838,,,,,,0.597275784,0.596581208,,
,,0.213415838,,,,,,0.59733833,0.59660168,,
,,0.213048742,,,,,,0.59660168,0.595578258,,
,,0.213857642,,,,,,0.596684202,0.52567252,,
,,0.220584278,,,,,,0.596149952,0.59660028,,
,,0.248835014,,,,,,0.525847392,0.637740986,,
,,0.213614938,,,,,,0.596574686,0.59665116,,
,,0.213360194,,,,,,0.59660168,0.59660168,,
,,0.213592112,,,,,,0.596576452,0.597783908,,
,,0.215009154,,,,,,0.602306414,0.596368592,,
,,0.21367659,,,,,,0.525075768,0.59660168,,
,,0.213415838,,,,,,0.59660168,0.674565816,,
,,0.21357358,,,,,,0.59660168,0.604111792,,
,,0.213071958,,,,,,0.596677958,0.59660168,,
,,0.21374933,,,,,,0.59660168,0.59660168,,
,,0.213087714,,,,,,0.596540708,0.598188952,,
,,0.213360224,,,,,,0.5256167,0.59628433,,
,,0.213878064,,,,,,0.506647416,0.59660168,,
,,0.213415838,,,,,,,0.701955514,,
,,0.214809018,,,,,,,0.596726362,,
,,0.220185304,,,,,,,0.59660168,,
,,0.214145588,,,,,,,0.596703782,,
,,0.214690654,,,,,,,0.596496988,,
,,0.21391097,,,,,,,0.596901864,,
,,0.219123108,,,,,,,0.59720102,,
,,0.213736976,,,,,,,0.59660168,,
,,0.213358426,,,,,,,0.614892144,,
,,0.213493104,,,,,,,0.5969858,,
,,0.223884256,,,,,,,0.596740478,,
,,0.213406242,,,,,,,0.596813842,,
,,0.216046994,,,,,,,0.596302016,,
,,0.21367599,,,,,,,0.63602456,,
,,0.213415838,,,,,,,0.596709552,,
,,0.221569038,,,,,,,0.671412242,,
,,0.224313058,,,,,,,0.603485304,,
,,0.214228046,,,,,,,0.596554306,,
,,0.213329292,,,,,,,0.596585692,,
,,0.213572664,,,,,,,0.596475718,,
,,0.215639948,,,,,,,0.699378016,,
,,0.214068914,,,,,,,0.596407116,,
,,0.21374933,,,,,,,0.596599236,,
,,0.213433556,,,,,,,0.589910208,,
,,0.213269216,,,,,,,0.596630906,,
,,0.213713956,,,,,,,0.6745845,,
,,0.213449846,,,,,,,0.598523708,,
,,0.216665894,,,,,,,0.62195217,,
,,0.213415838,,,,,,,0.622128668,,
,,0.215139502,,,,,,,0.599967404,,
,,0.21417198,,,,,,,0.63602456,,
,,0.2348944,,,,,,,0.591910588,,
,,0.217114906,,,,,,,0.599908202,,
,,0.235954158,,,,,,,0.59525902,,
,,0.328634196,,,,,,,0.5969858,,
,,0.213415838,,,,,,,0.59928692,,
,,0.213110886,,,,,,,0.597423344,,
,,0.213603882,,,,,,,0.59660168,,
,,0.214122558,,,,,,,0.592439882,,
,,0.21346039,,,,,,,0.597145154,,
,,0.213541942,,,,,,,0.596548678,,
,,0.213596932,,,,,,,0.59660168,,
,,0.21717414,,,,,,,0.59635876,,
,,0.213415838,,,,,,,0.59660168,,
,,0.213336274,,,,,,,0.595434156,,
,,0.213552628,,,,,,,0.595430248,,
,,0.22215307,,,,,,,0.595961158,,
,,0.213415838,,,,,,,0.580260008,,
,,0.213415838,,,,,,,0.59662949,,
,,0.213415838,,,,,,,0.59651418,,
,,0.212711106,,,,,,,0.59707662,,
,,0.26228423,,,,,,,0.596758612,,
,,0.21770512,,,,,,,0.62375586,,
,,0.213722902,,,,,,,0.597407172,,
,,0.215327,,,,,,,0.596545118,,
,,0.213205504,,,,,,,0.59660168,,
,,0.2142712,,,,,,,0.596569794,,
,,0.230451396,,,,,,,0.701819292,,
,,0.213338844,,,,,,,0.598566238,,
,,0.213276466,,,,,,,0.59660168,,
,,0.218363906,,,,,,,0.59560064,,
,,0.21316275,,,,,,,0.596597826,,
,,0.215724086,,,,,,,0.59660168,,
,,0.21543788,,,,,,,0.595339948,,
,,0.213500292,,,,,,,0.595488,,
,,0.218049336,,,,,,,0.59651418,,
,,0.369108406,,,,,,,0.5966195,,
,,0.231126166,,,,,,,0.598627054,,
,,0.222356746,,,,,,,0.596652688,,
,,0.213415838,,,,,,,0.597667566,,
,,0.317043674,,,,,,,0.61295035,,
,,0.213415838,,,,,,,0.59660168,,
,,0.240229462,,,,,,,0.597641984,,
,,0.237073092,,,,,,,0.596938994,,
,,0.258462972,,,,,,,0.596444274,,
,,0.213415838,,,,,,,0.603391376,,
,,0.214068914,,,,,,,0.596979234,,
,,0.21427783,,,,,,,0.622350616,,
,,0.213776022,,,,,,,0.597623002,,
,,0.213319916,,,,,,,0.701719186,,
,,0.213415838,,,,,,,0.59669059,,
,,0.214525792,,,,,,,0.596647836,,
,,0.213517608,,,,,,,0.580269488,,
,,0.213460958,,,,,,,0.59661566,,
,,0.213038244,,,,,,,0.597153194,,
,,0.214583604,,,,,,,0.59660168,,
,,0.213532626,,,,,,,0.702097992,,
,,0.213415838,,,,,,,0.701818044,,
,,0.213589166,,,,,,,0.69586597,,
,,0.224476398,,,,,,,0.701964086,,
,,0.202008872,,,,,,,0.59660168,,
,,0.20606946,,,,,,,0.59661674,,
,,0.202008872,,,,,,,0.616104732,,
,,0.213415838,,,,,,,0.598743036,,
,,0.202008872,,,,,,,0.604089306,,
,,0.202196246,,,,,,,0.596701558,,
,,0.213304248,,,,,,,0.59660168,,
,,0.213473196,,,,,,,0.59665523,,
,,0.21347355,,,,,,,,,
