2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Apr-Jun,2023-Oct-Dec,2024-Jan-Mar,2024-Apr-May
0.22111281,0.207157836,0.208429324,0.21895638,0.261607876,0.261607876,0.38122972,0.554404154,0.530023432,0.505971546,0.726556606,0.755623166,0.767565072,0.900715972,0.87931189,0.902806826,0.904387228,0.934522526
0.96330604,0.207353106,0.233809304,0.21895638,0.261507684,0.261507684,0.343257056,0.53859586,0.529890888,0.613671344,0.651865282,0.77586886,0.775338832,0.90036781,0.847940656,0.872341792,0.899918302,0.935247654
0.220378686,0.207831242,0.207157836,0.219080248,0.282004874,0.282004874,0.3856828,0.412830988,0.543438374,0.650101936,0.726203238,0.755462068,0.891160126,0.90036781,0.848160432,0.90160256,0.905214194,0.93534159
0.221487652,0.207230804,0.207157836,0.22576704,0.281586924,0.281586924,0.381969878,0.40585905,0.388412468,0.650101936,0.726203238,0.7226591,0.883242596,0.8926135,0.826027446,0.916079676,0.904106286,0.93490273
0.22024311,0.206926908,0.235307932,0.220456566,0.263810666,0.263810666,0.307688652,0.54031703,0.543378194,0.650891336,0.667053954,0.722636426,0.881583774,0.889206742,0.856133482,0.916079676,0.904106286,0.935494592
0.241769594,0.231089368,0.207157836,0.218737598,0.3054255,0.3054255,0.380869818,0.554303152,0.543438374,0.726098264,0.731340024,0.789740466,0.885989658,0.887668496,0.886003346,0.87160958,0.900517922,0.930188906
0.221123266,0.207748748,0.207732386,0.220689416,0.286583288,0.286583288,0.382642554,0.406869108,0.392918512,0.719860352,0.7801169,0.77192929,0.891346716,0.886721758,0.907478412,0.914592516,0.903469648,0.9376972
0.220671778,0.234985062,0.207174794,0.218740122,0.300737434,0.300737434,0.382185854,0.405371616,0.529806628,0.69814734,0.523532516,0.78928199,0.891160126,0.886018904,0.8400575,0.915786354,0.90412014,0.931678788
0.227252832,0.22967084,0.237134106,0.23110463,0.295191136,0.295191136,0.391249814,0.41075197,0.543129712,0.521968012,0.537880414,0.742766562,0.876223938,0.877089672,0.895604592,0.91301783,0.893213354,0.931277852
0.221338176,0.207182966,0.207449728,0.229693712,0.301232888,0.301232888,0.3856828,0.405371616,0.52979104,0.650101936,0.523389106,0.721937888,0.743900554,0.87407515,0.893746294,0.915250574,0.905317738,0.9357787
0.22101454,0.207537764,0.20738972,0.219125062,0.2648806,0.2648806,0.382616976,0.405426726,0.388310998,0.614367944,0.720202766,0.755602666,0.78719795,0.869418586,0.901086884,0.915250574,0.90881721,0.93460898
0.22125055,0.207301334,0.206909184,0.23194585,0.287155408,0.287155408,0.343451048,0.416583124,0.543703032,0.614318652,0.7100575,0.751526528,0.75219383,0.868611316,0.906842468,0.915830338,0.904387228,0.935860004
0.24697349,0.206899778,0.207098286,0.221601308,0.295373434,0.295373434,0.381719064,0.40561786,0.38924221,0.613798686,0.72659414,0.722356622,0.752825292,0.868611316,0.907478412,0.916079676,0.90304501,0.938052126
0.22119207,0.207956406,0.208049396,0.22017341,0.299999118,0.299999118,0.380630402,0.405371616,0.388400632,0.650793334,0.725534308,0.7767782,0.74542132,0.868611316,0.897620078,0.915331504,0.906161792,0.934624566
0.221928324,0.20675275,0.23389755,0.245129844,0.288154216,0.288154216,0.387102436,0.405159526,0.529890888,0.650101936,0.64974404,0.760022182,0.786392112,0.868532356,0.878995222,0.914162712,0.900053618,0.934789186
0.221525848,0.208693392,0.209328104,0.263192564,0.286753526,0.286753526,0.380969428,0.405691452,0.529529898,0.505971546,0.726203238,0.768926096,0.76251853,0.867599406,0.883433618,0.91375336,0.903161686,0.933058828
0.225284798,0.207297994,0.207157836,0.22882056,0.29820693,0.29820693,0.380608682,0.392170234,0.602749048,0.505904882,0.726385996,0.772695626,0.75266236,0.867094428,0.840061534,0.902199988,0.904106286,0.927085192
0.222199532,0.214509692,0.20675097,0.223335042,0.281586924,0.281586924,0.303315946,0.392274292,0.603285732,0.613773454,0.72509781,0.793291388,0.8388048,0.866837334,0.844284018,0.91587238,0.904106286,0.932139776
0.229759252,0.207157836,0.207157836,0.22023439,0.290800884,0.290800884,0.380968018,0.398985682,0.388412468,0.612206754,0.724831536,0.746438496,0.84577023,0.866647996,0.843902472,0.916079676,0.909187074,0.932347028
0.267015196,0.207321234,0.216645846,0.23027033,0.286633354,0.286633354,0.380990734,0.40585905,0.520072018,0.613682688,0.74387125,0.757199076,0.793913766,0.866437544,0.826012776,0.915786354,0.904777078,0.935800394
0.278336098,0.20715718,0.208726456,0.219237,0.287008768,0.287008768,0.386008916,0.405744704,0.53139309,0.613671344,0.726498232,0.755542682,0.786301544,0.866069494,0.84800374,0.915801734,0.90570376,0.93098982
0.232809626,0.207954094,0.217184654,0.219273946,0.286787838,0.286787838,0.386790728,0.392918638,0.543187566,0.613547738,0.71097006,0.756951202,0.782073012,0.86592845,0.879220574,0.915874314,0.904180884,0.928407576
0.24697349,0.207254506,0.207364424,0.2294677,0.261607876,0.261607876,0.381014014,0.41599753,0.544313258,0.6137319,0.726203238,0.752986322,0.796472008,0.86574234,0.84743133,0.916058924,0.905417442,0.93067906
0.220447774,0.206916828,0.207157836,0.21895638,0.261852888,0.261852888,0.3856828,0.40351187,0.54337016,0.651764806,0.726561906,0.776632236,0.83282308,0.86574234,0.907767624,0.842878846,0.90393174,0.93283902
0.220378686,0.207157836,0.208062546,0.22785545,0.26997412,0.26997412,0.381432794,0.412840062,0.536109692,0.650679408,0.721488356,0.606110978,0.775338832,0.86574234,0.879181158,0.871756194,0.90362572,0.931906018
0.221456632,0.2100598,0.207446164,0.221557454,0.27880768,0.27880768,0.308159282,0.427491312,0.530038532,0.726157548,0.726241818,0.75319751,0.796538676,0.86571381,0.801266166,0.90142808,0.904106286,0.934789186
0.231316692,0.208533854,0.207215534,0.229783452,0.261700816,0.261700816,0.37345701,0.405954188,0.543138614,0.649642668,0.725942852,0.756612932,0.775546954,0.865659264,0.87772705,0.912944828,0.90035796,0.932139776
0.22376036,0.207098286,0.207696194,0.218739132,0.264945866,0.264945866,0.37410836,0.406408752,0.542999772,0.613973968,0.725259822,0.776534674,0.745213954,0.864790146,0.893119536,0.911815188,0.904916898,0.933058828
