2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun
0.20200885,0.20200885,0.20200885,0.356550584,0.266510134,0.331136744,0.294877816,0.376602522,0.494665354,0.603124786,0.695870212,0.771067072,0.758838958,0.887328566
0.235230766,0.235230766,0.2020481,0.20200885,0.297593976,0.296289558,0.22705888,0.370017318,0.503346176,0.603471222,0.71538462,0.774069356,0.77247465,0.88383069
0.20200885,0.286361582,0.256785902,0.206069446,0.264217872,0.222306124,0.226642672,0.373748166,0.497149658,0.520662782,0.695624806,0.768313294,0.758757548,0.758838958
0.201894632,0.20200885,0.286361582,0.20200885,0.23979818,0.296463668,0.297095102,0.291191158,0.376753684,0.637743774,0.716395534,0.766372906,0.88383069,0.851337514
0.202389774,0.2027263,0.361826292,0.253102664,0.227635206,0.3726788,0.297392844,0.291512372,0.372121608,0.633399234,0.69804962,0.769893568,0.764472114,0.846922872
0.202092552,0.290181356,0.235230766,0.202189006,0.224325228,0.298050648,0.297437856,0.369697588,0.503883804,0.709728328,0.669460734,,0.841762412,0.8424137
0.202227856,0.202260184,0.202950354,0.253102664,0.224325228,0.297233876,0.331511386,0.373409924,0.517197352,0.63971898,0.695719218,,0.8424137,0.842227476
0.202235994,0.201894632,0.20200885,0.202261332,0.266781836,0.371819184,0.33136522,0.33047066,0.359062366,0.60072978,0.688101564,,0.766099068,0.838814312
0.202007018,0.203383462,0.202007018,0.253102664,0.297461128,0.296751404,0.290070024,0.376612932,0.360781104,0.712370838,0.62899632,,0.774444012,0.884233854
0.201882654,0.202351802,0.253213966,0.203766406,0.26645276,0.288390548,0.292197766,0.369847212,0.371960324,0.683618824,0.695483138,,0.774651126,0.88488605
0.20261675,0.202389774,0.253102664,0.201425248,0.29764561,0.289003758,0.292152028,0.370067968,0.50583988,0.693049654,0.696020072,,0.770852812,0.88475986
0.202025866,0.20200885,0.202092552,0.266318154,0.297460626,0.288121738,0.314002414,0.370103224,0.50345251,0.713109008,0.6957573,,0.88488605,0.841762412
0.201675042,0.20200885,0.286361582,0.253245456,0.292796142,0.290784116,0.292698392,0.329436738,0.503346176,0.603572742,0.6729898,,0.757669474,0.920990972
0.20200885,0.20200885,0.207872936,0.254273558,0.22932104,0.290476246,0.339574994,0.377356542,0.49719613,0.712370838,0.669494472,,0.755601594,0.886120928
0.20208235,0.202129698,0.203456058,0.290938096,0.256099338,0.290784116,0.292206212,0.374343748,0.50596828,0.606518558,0.699507468,,0.8475583,0.884970802
,0.201955568,0.202389774,0.20200885,0.294595956,0.290126056,0.292152028,0.37337815,0.5034384,0.684259766,0.67296845,,0.763287572,0.83622494
