2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar
0.20200885,0.214585356,0.21951018,0.213685246,0.24153501,0.286079472,0.26173609,0.37146987,0.525592684,0.605232912,0.77517099,0.762421072,0.771767028,0.837615048,0.901832564,0.835949874,0.95085153
0.201894632,0.214735846,0.214302056,0.202561494,0.287468224,0.286183436,0.221074632,0.50533892,0.525672458,0.643320164,0.804482256,0.762946618,0.771783846,0.876433526,0.930769832,0.84353192,0.961095058
0.20637157,0.214585356,0.203089172,0.20253503,0.318381318,0.285753498,0.223128142,0.37776029,0.596601686,0.605744388,0.700971254,0.778683014,0.737557308,0.876637352,0.90017759,0.831515266,0.96205656
0.203802222,0.214585356,0.21411843,0.21439139,0.241790468,0.287198262,0.37736174,0.371561282,0.37201232,0.714589674,0.371496222,0.773880796,0.838518656,0.835542988,0.90072092,0.83362167,0.957827868
0.211469888,0.216634412,0.203334428,0.20200885,0.242768376,0.286361086,0.384020262,0.371496222,0.50661791,0.60669246,0.700582448,0.77280454,0.852155014,0.83644604,0.775530424,0.843527994,0.95388591
0.202774976,0.218059776,0.203669976,0.215304522,0.258336784,0.286666136,0.383756066,0.371544522,0.506588254,0.616954352,0.762277332,0.764431298,0.954854068,0.88397854,0.75908446,0.838609964,0.957756036
0.203397136,0.230959814,0.215694014,0.203255438,0.242473142,0.374227528,0.386780572,0.372885172,0.50667608,0.606199074,0.59472802,0.762399042,0.840251718,0.760406288,0.79281084,0.88663872,0.9412572
0.202296164,0.21590732,0.21471854,0.204850334,0.287468224,0.366663684,0.3849504,0.374092806,0.506322974,0.605768832,0.673367634,0.698366854,0.795473686,0.76586819,0.8072211,0.841597166,0.942289998
0.201691722,0.214585356,0.214290066,0.210802912,0.26980607,0.233598096,0.385238628,0.372862058,0.52592349,0.608169092,0.71234764,0.700971254,0.3740251,0.747702308,0.75826414,0.784931998,0.96183559
0.202165366,0.215020804,0.214302056,0.201949524,0.242339202,0.285762284,0.38697231,0.206604786,0.52541278,0.605273906,0.673372396,0.720450292,0.807321024,0.775677148,0.85155844,0.78606668,0.96155398
0.20241777,0.214703346,0.214302056,0.210366274,0.242656762,0.273867194,0.38697231,0.374374474,0.506322974,0.6070977,0.714962652,0.697705698,0.878366716,0.760430562,0.807488718,0.786460926,0.957420548
0.202132298,0.214585356,0.214798312,0.20200885,0.257684588,0.286444136,0.384775198,0.374069006,0.504406956,0.605114054,0.677718166,0.73470386,0.837265822,0.795284872,0.845326106,0.859277642,0.961432818
0.202003334,0.21553957,0.203025084,0.202325832,0.27946894,0.280715456,0.384115134,0.37298174,0.52706547,0.605232912,0.712360292,0.737763802,0.838401662,0.80713061,0.759081862,0.831747862,0.95570241
0.207009014,0.214450624,0.203025084,0.202178874,0.305711412,0.293985116,0.384020262,0.371513562,0.525698486,0.606084882,0.69723201,0.738073132,0.810284862,0.846942922,0.83517727,0.869895966,0.957550142
0.201894798,0.215084338,0.204520062,0.215361082,0.26419864,0.270662446,0.384020262,0.371775596,0.52559052,0.607174492,0.69717008,0.774660452,0.836351132,0.776845448,0.852215608,0.758753814,0.956823008
0.226038706,0.21445964,0.203344268,0.202022426,0.310150148,0.285753498,0.37750282,0.37364087,0.528700142,0.604418148,0.70312911,0.700027256,0.837220048,0.857492292,0.807516986,0.83965103,0.942211504
0.20200885,0.214397764,0.20266524,0.214457332,0.243296508,0.288649338,0.295952434,0.37149079,0.525903528,0.605045708,0.700971254,0.76057222,0.762888372,0.87482916,0.883658366,0.8426848,0.957271742
