2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep
0.202008872,0.202447008,0.202008872,0.261344016,0.269579498,0.28454884,0.356456786,0.350676818,0.59451852,0.677347182,0.831151134,0.73807314,0.772747202,0.780049162,0.878995398
0.201894658,0.202008872,0.211469926,0.202008872,0.266413554,0.356189426,0.355734388,0.35800114,0.507415358,0.59451852,0.7605722,0.77388077,0.77672314,0.869677764,0.938171412
0.21306738,0.202113428,0.202008872,0.213685254,0.296180108,0.356274632,0.35618333,0.358058706,0.505498568,0.595287852,0.704969186,0.728922872,0.738371226,0.88631797,0.8580496
0.211469926,0.201802058,0.25313332,0.201846526,0.270141744,0.359367246,0.35614703,0.35800114,0.505999014,0.671537816,0.711620908,0.780491192,0.742352268,0.85354859,
0.20332202,0.20606946,0.202008872,0.253136736,0.266413554,0.355718228,0.355060556,0.358047664,0.50589974,0.596295194,0.727564872,0.570957356,0.776738998,0.85562268,
0.202447008,0.201894658,0.202779858,0.210667034,0.253136736,0.356586108,0.356417356,0.35652104,0.505865072,0.68267594,0.72889366,0.52639982,0.75819086,0.852040046,
0.202002284,0.206043286,0.202008872,0.254347908,0.264724616,0.266999862,0.357990256,0.358158656,0.510686552,0.595636108,0.70097124,0.7605722,0.770142288,0.872557142,
0.202713274,0.202008872,0.208573794,0.202008872,0.238412732,0.270949536,0.35643594,0.317538188,0.397642504,0.673475982,0.712306606,0.757040628,0.769873462,,
0.202008872,0.202074828,0.201767268,0.210485712,0.325618918,0.356345006,0.369682702,0.370925296,0.508557982,0.685360384,0.748772358,0.762827532,0.77372788,,
0.20332202,0.202008872,0.201802058,0.211469926,0.323831724,0.356307356,0.35457419,0.35578297,0.50789942,0.594518184,0.7600023,0.774334694,0.842456792,,
0.202005818,0.202083612,0.202008872,0.202440568,0.269865132,0.356628478,0.356744298,0.360695626,0.492741224,0.591240268,0.673372402,0.764609372,0.754913464,,
0.202070196,0.20205676,0.202055972,0.201802058,0.263943038,0.355274628,0.355710996,0.370845162,0.568430872,0.596295194,0.650215756,0.763355264,0.784180362,,
0.202423842,0.202008872,0.2021789,0.202157356,0.272264402,0.355809088,0.356448744,0.376995662,0.594686794,0.655541598,0.59472076,0.755692274,0.77454343,,
,0.201821968,0.20306807,0.2021789,0.266547004,0.356550572,0.35598042,0.356670044,0.491392068,0.661592252,0.63453648,0.70097124,0.77058117,,
,0.202254328,0.201846526,0.202325326,0.266371572,0.265031688,0.35564702,0.322469262,0.473278458,0.670901946,0.714664802,0.76026917,0.738472422,,
,0.202188286,0.283791114,0.210953456,0.266592066,0.270755368,0.356224124,0.33046647,0.596549214,0.698688856,0.77388077,0.7605722,0.833456598,,
,0.202509948,0.202729052,0.201813532,0.264747,0.28139097,0.355042952,0.373531664,0.479414714,0.595383122,0.728922872,0.761630506,0.77617945,,
,0.201835932,0.20606946,0.203583424,0.266760848,0.325618918,0.356017746,0.35652945,0.5977383,0.583245898,0.52639982,0.738079806,0.833661954,,
,0.203385048,0.203141282,0.204776546,0.264343952,0.266641686,0.293714404,0.370845162,0.503382904,0.336931402,0.700908956,0.7605722,0.77896597,,
,0.202008872,0.201935714,0.252688814,0.266639668,0.356550572,0.356516536,0.370945032,0.60153743,0.699404122,0.73769585,0.755692274,0.833814604,,
,0.202022442,0.202139976,0.265031688,0.263229856,0.270755368,0.355427796,0.370982628,0.493259342,0.603170116,0.658609886,0.673372402,0.770084186,,
,0.202508922,0.202189018,0.26425116,0.26484191,0.271211946,0.356160708,0.466591872,0.283368068,0.672280828,0.700895758,0.778504692,,,
,0.201921932,0.20252415,0.26672277,0.264491332,0.327184486,0.356464698,0.370925296,0.514089282,0.675165506,0.596582148,0.770760316,,,
,0.202189018,0.201768208,0.254570626,0.26644845,0.325618918,0.356064432,0.505498568,0.640352754,0.667768278,0.70097124,0.717761054,,,
,0.202059974,0.201921396,0.264441052,0.2620308,0.274424268,0.356464374,0.505865072,0.523156626,0.62016099,0.698366888,0.774070532,,,
,0.201894834,0.202008872,0.202283108,0.26211556,0.2615421,0.356436852,0.507901242,0.603170116,0.69262865,0.70144406,0.773877658,,,
,0.229449888,0.202008872,0.201436432,0.20237912,0.256014712,0.354727374,0.492741224,0.60181111,0.66307691,0.714962652,0.764609372,,,
,0.208550534,0.20290091,0.202073712,0.259866104,0.25858247,0.35618333,0.520293108,0.478777634,0.6900824,0.718412598,0.761703562,,,
,0.203802254,0.202380146,0.266733656,0.202561482,0.325977412,0.356300744,0.32052707,0.536587774,0.676571686,0.737698198,0.764061474,,,
,0.21306738,0.202008872,0.203502282,0.201845502,0.355243804,0.356652906,0.373003564,0.36136648,0.672904924,0.701020926,0.771673378,,,
,0.202283108,0.21306738,0.28535029,0.27425523,0.203499326,0.359115262,0.473278458,0.50616732,0.37314861,0.70148608,0.77608692,,,
,0.223139352,0.202205766,0.203375454,0.229868958,0.356536634,0.356161398,0.523680164,0.52639982,0.499717124,0.701020926,0.773323472,,,
,0.204343814,0.20218586,0.20606946,0.202008872,0.269506028,0.356178338,0.480147436,0.485767932,0.59323222,0.717761054,0.764339688,,,
