2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun
0.154179206,0.154179206,0.154179206,0.236337567,0.34334943,0.28834751,0.305798113,0.24486884,0.292723269,0.340996346,0.387427701,0.431206853,0.430035971,0.510013249
0.194707291,0.194707291,0.154509196,0.154179206,0.300784401,0.30069933,0.18587835,0.242323832,0.301118776,0.34107105,0.398672256,0.432595442,0.437904454,0.510983664
0.154179206,0.299480243,0.346633941,0.155839501,0.344084671,0.182590522,0.184872093,0.243427676,0.298554093,0.303672478,0.387506387,0.435019608,0.429639625,0.430035971
0.154955512,0.154179206,0.299480243,0.154179206,0.179301767,0.300771386,0.300711265,0.280371374,0.250507847,0.363978833,0.399493248,0.434024176,0.510983664,0.487051304
0.154388113,0.154228955,0.238110764,0.347989025,0.183017785,0.245014205,0.301435683,0.279263499,0.24194796,0.361514645,0.388362501,0.43587858,0.424862898,0.48232404
0.153852433,0.267689367,0.194707291,0.154512806,0.179787402,0.300389991,0.300318627,0.242204501,0.30139281,0.39240065,0.374565075,,0.480459807,0.482160705
0.15423682,0.153337761,0.155158295,0.347989025,0.179787402,0.301664108,0.287744985,0.243235097,0.302861971,0.364410807,0.387577129,,0.482160705,0.481935521
0.154176293,0.154955512,0.154179206,0.154243051,0.342555545,0.243766189,0.287777585,0.289261612,0.237689087,0.339620211,0.385285164,,0.426694304,0.479002663
0.15463652,0.15553192,0.15463652,0.347989025,0.299882314,0.300858829,0.259190481,0.244966312,0.23911058,0.394669981,0.362173543,,0.431545938,0.511173163
0.15509098,0.154442841,0.347990305,0.154500949,0.343094967,0.257082256,0.274819075,0.242263978,0.241713387,0.38081702,0.387502208,,0.431668457,0.510634348
0.153686415,0.154388113,0.347989025,0.15481327,0.299946608,0.257760914,0.275596734,0.242444502,0.302255755,0.386519923,0.387684428,,0.434292366,0.510525053
0.154008174,0.154179206,0.153852433,0.348531832,0.300302073,0.257192764,0.255133267,0.242498583,0.300848341,0.39478289,0.387383127,,0.510634348,0.480459807
0.155001345,0.154179206,0.299480243,0.347634008,0.274112398,0.279315627,0.282995261,0.300637808,0.301118776,0.341155168,0.377017478,,0.430631427,0.54808892
0.154179206,0.154179206,0.157327937,0.346813507,0.195385019,0.280101771,0.297890891,0.246849114,0.298537949,0.394669981,0.374604886,,0.429594231,0.511316285
