2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep
0.154179211,0.155223603,0.154179211,0.342530647,0.193825807,0.334950225,0.236456861,0.230048234,0.338014665,0.381494003,0.472170723,0.415040293,0.438010413,0.442231237,0.506562415
0.154955485,0.154179211,0.156638572,0.154179211,0.191082657,0.236885893,0.236289452,0.237233811,0.301192781,0.338014665,0.430946655,0.438851743,0.440493323,0.499161023,0.563907802
0.167914834,0.154294885,0.154179211,0.153207684,0.35489135,0.236283314,0.236404247,0.23726624,0.300358155,0.338717724,0.399063801,0.407579451,0.416611081,0.507730722,0.48767102
0.156638572,0.153931036,0.348067097,0.154150158,0.332046835,0.245442889,0.236348821,0.237233811,0.300508959,0.377107769,0.401959269,0.443556231,0.419195455,0.485688689,
0.15397671,0.155839489,0.154179211,0.347662644,0.191082657,0.236290144,0.235868405,0.237281782,0.300259805,0.339765374,0.408337507,0.284758652,0.440472842,0.486667046,
0.155223603,0.154955485,0.154180969,0.155822818,0.347662644,0.236381749,0.236397759,0.236631821,0.3002985,0.384878633,0.407488772,0.307760791,0.429650206,0.485009291,
0.154084825,0.155543677,0.154179211,0.345688364,0.189412565,0.310625256,0.237229223,0.237418943,0.305969281,0.339960314,0.391032623,0.430946655,0.436833621,0.500520721,
0.155288542,0.154179211,0.153374801,0.154179211,0.171681846,0.310833802,0.236345474,0.308183809,0.279938134,0.362778816,0.403250296,0.429303921,0.436551792,,
0.154179211,0.155341825,0.154160449,0.154434751,0.269081495,0.236368403,0.24053975,0.241328764,0.310815836,0.386614001,0.418965883,0.432243103,0.432392731,,
0.15397671,0.154179211,0.153931036,0.156638572,0.309280665,0.236327085,0.235985165,0.237357284,0.302349875,0.338540436,0.430422994,0.430890977,0.477822748,,
0.154986001,0.154593106,0.154179211,0.155068478,0.20145064,0.2364295,0.237154455,0.237708245,0.299694686,0.332543462,0.377707442,0.432874209,0.427546931,,
0.156437469,0.154252551,0.154448869,0.153931036,0.316151548,0.235914737,0.236264114,0.241276778,0.322986875,0.339765374,0.369251959,0.432394398,0.444234725,,
0.15882756,0.154179211,0.154451032,0.154218452,0.338294056,0.23633169,0.236508659,0.246132542,0.338018459,0.371484285,0.338013248,0.431019623,0.439007457,,
,0.154075662,0.163357874,0.154451032,0.310176335,0.236337571,0.236453812,0.236778076,0.297482271,0.374945107,0.364616768,0.391032623,0.437542316,,
