2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar
0.154179206,0.176505854,0.154657948,0.153207703,0.186211527,0.213420269,0.180047969,0.241448016,0.307658782,0.342060175,0.431740021,0.435310144,0.437188477,0.474751156,0.51785923,0.484399885,0.577733282
0.154955512,0.176977741,0.170162445,0.154135985,0.209679671,0.213098001,0.180279695,0.300275975,0.307678634,0.367361405,0.45682475,0.43579427,0.43719719,0.505340691,0.55914514,0.48994724,0.588118051
0.156516507,0.176505854,0.155687965,0.154356684,0.29457769,0.213418563,0.181688627,0.244219145,0.339399444,0.342281985,0.391032615,0.441270698,0.414053785,0.505305334,0.52153062,0.477639,0.593184695
0.156646527,0.176505854,0.169690351,0.153324007,0.185299583,0.212868678,0.245642252,0.241441398,0.241955025,0.395827303,0.241370024,0.438851753,0.474863929,0.473581321,0.521730675,0.47752399,0.589673913
0.15663857,0.181005364,0.155785513,0.154179206,0.185936701,0.213345272,0.248328999,0.241370024,0.302151014,0.342959281,0.39083365,0.438504468,0.48320493,0.473803344,0.439108874,0.489923571,0.587431256
0.155725027,0.182938814,0.155499435,0.153552404,0.223557336,0.213158797,0.24844339,0.241415027,0.301952964,0.348368091,0.433360934,0.432806151,0.576144664,0.509304598,0.447413334,0.485921777,0.59076728
0.155963613,0.221440585,0.195788419,0.154566535,0.18820081,0.244585873,0.249784078,0.242596615,0.302096135,0.342407093,0.338052603,0.435281259,0.475936239,0.448376935,0.476946077,0.526742508,0.560114903
0.154169746,0.175646768,0.170771795,0.157005905,0.209679671,0.241483603,0.249055171,0.242104517,0.301995117,0.342283056,0.377691251,0.389777614,0.445802065,0.427414203,0.459950624,0.48814779,0.560866256
0.153843798,0.176505854,0.170447226,0.155888566,0.212717341,0.215180026,0.249481621,0.24229983,0.30788526,0.343475335,0.403265943,0.391032615,0.250196494,0.418990094,0.44791305,0.472662573,0.593514662
0.155265709,0.177228513,0.170162445,0.154374581,0.186055828,0.213432878,0.249946329,0.162351791,0.307600048,0.34217603,0.377707459,0.402186786,0.459282166,0.432391696,0.492556204,0.473887574,0.592886648
0.155005801,0.177158375,0.170162445,0.159774408,0.186346986,0.309823195,0.249946329,0.242591581,0.301995117,0.342826334,0.405612406,0.388394034,0.506202396,0.448398557,0.459390533,0.473788884,0.589441695
0.153995808,0.176505854,0.170385334,0.154179206,0.197787765,0.218239357,0.248983768,0.242117273,0.301731867,0.342079029,0.38167543,0.41251673,0.474373905,0.47837965,0.49033679,0.495948181,0.592522755
0.154288725,0.178062571,0.155511419,0.154355002,0.336840346,0.214016443,0.248314599,0.242292396,0.308374802,0.342060175,0.403253975,0.41485582,0.475165251,0.459623862,0.447685649,0.477830975,0.588748407
0.155321935,0.177007894,0.155511419,0.154451047,0.326053842,0.364440443,0.248328999,0.24131394,0.30772307,0.342283464,0.388149941,0.41504031,0.45798796,0.480696164,0.478112741,0.498361325,0.590011551
0.154493017,0.176566132,0.168138819,0.153344979,0.199669331,0.313998825,0.248328999,0.241569962,0.307687286,0.342856699,0.388113225,0.439127091,0.473799923,0.43262297,0.49106344,0.447658964,0.58934746
0.18199641,0.176162237,0.155448957,0.154152339,0.322104708,0.213418563,0.245678285,0.244886948,0.310256858,0.341973198,0.391889403,0.389171601,0.474477834,0.487964986,0.459504809,0.475447021,0.560438155
0.154179206,0.176077439,0.155493778,0.153009027,0.188233292,0.221809104,0.211250316,0.241351278,0.308336899,0.34206516,0.391032615,0.430946672,0.431444871,0.504496397,0.508066569,0.484345513,0.58935885
0.154575781,0.175141982,0.155298586,0.157460119,0.186211527,0.213384292,0.31429352,0.241162381,0.242381403,0.344249549,0.390972012,0.441122515,0.444342944,0.481748508,0.404177696,0.551203778,
0.15495013,0.176505854,0.163902857,0.162054764,0.185058392,0.213247198,0.201451039,0.241162381,0.241846387,0.342060175,0.391055747,0.388113225,0.418386885,0.481748217,0.474537624,0.490872002,
0.190903911,0.185381734,0.155617115,0.15430648,0.190248163,0.208392463,0.199937189,0.242440516,0.307617068,0.341895659,0.390949148,0.474544644,0.409629955,0.482528054,0.474043478,0.451904716,
0.193053883,0.197988833,0.15762333,0.152613813,0.190775785,0.213209538,0.297477948,0.257909246,0.339096262,0.342197804,0.390796849,0.388272592,0.418254044,0.418364883,0.512663947,0.489461248,
0.191082628,0.196726531,0.155658511,0.155839134,0.190775785,0.2139102,0.199388834,0.24445167,0.338200596,0.342060175,0.3914067,0.390054331,0.436431033,0.474996292,0.472670294,0.478504514,
0.155034785,0.309445771,0.158003715,0.154566535,0.193314995,0.213937316,0.200227621,0.245274347,0.307661476,0.342186068,0.391064141,0.40757944,0.440830444,0.484974588,0.521131412,0.498361325,
0.155223586,0.19806323,0.170174791,0.153819552,0.221367981,0.213416166,0.199337619,0.241382906,0.339331968,0.342060175,0.391386941,0.403250286,0.429176827,0.440466252,0.510333772,0.485798976,
0.154374581,0.198797962,0.170162445,0.154149208,0.191644746,0.21658516,0.302474824,0.244270685,0.242622348,0.341972404,0.391032615,0.412713311,0.44113875,0.424124918,0.509900438,0.505551113,
0.154179206,0.177081111,0.155760237,0.190831823,0.190775785,0.215586949,0.24237911,0.242448479,0.25209399,0.342033845,0.391061789,0.393131731,0.446641299,0.466435941,0.474902116,0.475816265,
