2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023_Jul-Sep,2023_Oct-Dec,2024-Jan-Mar,2024-Apr-Jun
0.154955485,0.154179211,0.154955485,0.154527205,0.167257792,0.204710786,0.243612376,0.245093915,0.33959252,0.339363449,0.339380851,0.343584079,0.394121378,0.503433242,0.47239134,0.506223346,0.562357882,0.589673913
0.154179211,0.154955485,0.154179211,0.154179211,0.162351741,0.204710786,0.245827624,0.244107214,0.33959252,0.339363449,0.339380851,0.343584079,0.40805886,0.473871828,0.472583172,0.537581727,0.561972593,0.559244745
0.155398402,0.154463942,0.154179211,0.153980579,0.34494388,0.205074747,0.245807943,0.243104221,0.33959252,0.365042509,0.365087364,0.368061324,0.402010393,0.178753056,0.511498792,0.537570621,0.587441061,0.562048801
0.157828761,0.155398402,0.15397671,0.154179211,0.345027607,0.164838924,0.242888939,0.2441857,0.364584813,0.339813114,0.339803255,0.34401229,0.396955341,0.50356477,0.473987285,0.538080237,0.562848159,0.563584146
0.155016065,0.154633776,0.154179211,0.157067302,0.308121898,0.336981252,0.24905854,0.238949071,0.340114441,0.339341875,0.339355729,0.343552969,0.418336819,0.490261348,0.513379106,0.53684374,0.562737501,0.563464507
0.154955485,0.158270574,0.153874342,0.15625409,0.193784034,0.165191622,0.247379534,0.243261904,0.339537012,0.339634529,0.34672491,0.3949853,0.418278579,0.50260401,0.512616308,0.536769851,0.559639008,0.57903163
0.280026068,0.154950127,0.160627372,0.154662213,0.165369785,0.268882523,0.24681204,0.244052698,0.310673167,0.238354434,0.391420556,0.3949853,0.418148275,0.506497308,0.54678247,0.539639166,0.589039919,0.589673913
0.15705982,0.154955485,0.154179211,0.154519059,0.193819709,0.178614581,0.247954333,0.238780103,0.33959252,0.339386959,0.391302388,0.397122928,0.418145777,0.502491697,0.473728156,0.528753016,0.561329736,0.575964383
0.154634106,0.154955485,0.154575744,0.154013885,0.336325688,0.167683216,0.246309282,0.30028345,0.307845838,0.341003375,0.391380815,0.3949853,0.404171976,0.50279001,0.472154643,0.537731125,0.589039919,0.589673913
0.155914358,0.189234894,0.154430538,0.156232099,0.241162417,0.285864927,0.245145704,0.287699361,0.243176678,0.346583895,0.396933655,0.420408641,0.442935055,0.503440883,0.506067644,0.548362306,0.560408066,
0.172360201,0.153911244,0.154149216,0.154804928,0.241370017,0.23723375,0.246091976,0.243261904,0.339781196,0.330032095,0.377983364,0.416923246,0.418583299,0.481312596,0.474281329,0.541016224,0.562645141,
0.154058555,0.154356704,0.1556507,0.160968576,0.335038454,0.237347242,0.246309282,0.300284595,0.302298035,0.391216684,0.346624729,0.393689868,0.418336819,0.503465278,0.500520721,0.543779965,0.584380416,
0.154463942,0.154575744,0.154527205,0.154527205,0.335765466,0.23701146,0.242774791,0.244107214,0.307706667,0.391216684,0.405169475,0.397122928,0.394121378,0.501552846,0.337058047,0.536427468,0.562260568,
0.155042848,0.154575744,0.154825683,0.154694482,0.336527402,0.23723375,0.198342274,0.244581166,0.33934682,0.339466679,0.391380815,0.415824364,0.417936817,0.503394084,0.389357294,0.535057628,0.562648457,
0.155265691,0.154575744,0.154179211,0.154252551,0.402311125,0.330319713,0.198557471,0.247009282,0.308067996,0.3404124,0.340378888,0.438859181,0.394160038,0.437711089,0.439007457,0.471189056,0.588916156,
0.156414609,0.155384594,0.154179211,0.154693219,0.172034551,0.165253814,0.198650998,0.244838397,0.307845838,0.339336198,0.33964667,0.3949853,0.443702103,0.437096934,0.429933862,0.537085047,0.566177346,
0.155504988,0.156962079,0.151745292,0.151745292,0.286878823,0.344918121,0.198436541,0.186811601,0.307876151,0.339741538,0.339380851,0.395269526,0.394121378,0.438136165,0.437427602,0.53703412,0.559381659,
0.154179211,0.154137693,0.15492804,0.154571149,0.237196249,0.344215242,0.198232974,0.214559614,0.339547282,0.354950549,0.391315487,0.3949853,0.394035071,0.469593991,0.472583172,0.512156325,0.562848159,
0.154228956,0.154575744,0.155125706,0.154527205,0.244168864,0.344752451,0.246817307,0.214272865,0.33967432,0.339397025,0.391195417,0.395695487,0.431233111,0.502980502,0.50013898,0.547934515,0.589223183,
0.155283576,0.155797244,0.154519059,0.154313239,0.194194875,0.194408987,0.246765969,0.179344329,0.307829884,0.339363449,0.339123825,0.394949459,0.417261786,0.467827964,0.506315488,0.515404074,0.464000704,
0.154955485,0.153980426,0.154248548,0.154179211,0.333548296,0.196038914,0.24681204,0.186672167,0.302358498,0.339335625,0.339380851,0.45316233,0.394121378,0.468428308,0.506502417,0.524568458,0.561914742,
0.165365755,0.154179211,0.176111386,0.154492211,0.199452465,0.194374781,0.246660842,0.185755577,0.244536848,0.340129525,0.391137245,0.394765691,0.442820553,0.472915151,0.506251776,0.537570878,0.584380416,
0.241299019,0.155839489,0.153980579,0.154633957,0.308962428,0.24783348,0.246861318,0.301120908,0.30713631,0.339350027,0.395408897,0.417100382,0.442091148,0.478324267,0.471706011,0.536946053,0.588428545,
0.160928438,0.189780928,0.154963448,0.158065516,0.308975225,0.194579985,0.247105479,0.244773425,0.307204747,0.339363449,0.391380815,0.395291491,0.439425866,0.503600836,0.474395346,0.536946053,0.588585501,
0.161847441,0.166904479,0.161713088,0.178570701,0.169992774,0.194583245,0.246862342,0.246374396,0.307923297,0.340386863,0.339386079,0.394765317,0.472413081,0.477998127,0.472267372,0.516186806,0.562848159,
0.155032745,0.154140849,0.189234894,0.154632447,0.163357427,0.194498365,0.24681204,0.246430857,0.304571464,0.339914252,0.391380815,0.396222828,0.458850244,0.472818502,0.499973869,0.51554653,0.560495937,
0.154356704,0.15460048,0.307831689,0.166430931,0.162254566,0.194438124,0.247322671,0.250294899,0.307979633,0.339994598,0.340012201,0.3949853,0.462560915,0.468812692,0.500839555,0.536686304,0.560767319,
0.154575744,0.154575744,0.310069185,0.154179211,0.170859653,0.240983122,0.246754485,0.246374396,0.307820564,0.339490393,0.389436722,0.393689868,0.459611824,0.472887003,0.50696539,0.538672181,0.589039919,
0.154575744,0.154575744,0.154459944,0.154852105,0.193718674,0.243920161,0.24681204,0.246298452,0.307836607,0.339428087,0.379092983,0.39509462,0.418414018,0.468428308,0.509473905,0.547878147,0.589039919,
0.154575744,0.155649229,0.155585421,0.154527205,0.195783902,0.194813964,0.246868799,0.244936112,0.307845838,0.339467386,0.390168319,0.395087179,0.433433106,0.46873318,0.472583172,0.535405136,0.573023967,
0.155384594,0.190148262,0.15645477,0.154208267,0.241182585,0.19431466,0.247251703,0.244229729,0.307832412,0.339363449,0.378115567,0.393852449,0.394195527,0.503370381,0.509665046,0.535191933,0.562441802,
0.156962079,0.154575744,0.154382161,0.161640025,0.286977859,0.194408987,0.246786473,0.246374396,0.308096903,0.339447712,0.391240474,0.401603109,0.399035157,0.472728416,0.472679798,0.542808906,0.560562984,
0.154137693,0.154570423,0.154179211,0.176111386,0.241967745,0.194138296,0.246628763,0.246367844,0.307738956,0.355092211,0.391380251,0.397122928,0.418389674,0.473391695,0.509473905,0.537570621,0.572431434,
0.154575744,0.156295142,0.162523139,0.154430671,0.196070605,0.194758901,0.246901526,0.246374396,0.340779487,0.389289762,0.390168319,0.395087179,0.241599262,0.468428308,0.499930639,0.533558498,0.588592897,
0.155797244,0.154179211,0.154638642,0.156056319,0.28581778,0.241902753,0.250500843,0.247326744,0.339641408,0.357595576,0.392155575,0.461648206,0.238702056,0.473044185,0.506061743,0.511674959,0.588816491,
0.153980426,0.15461015,0.154179211,0.154599331,0.287377716,0.241183775,0.247878389,0.247101604,0.354600737,0.339363449,0.391569171,0.3949853,0.242972422,0.502729081,0.506315488,0.534849095,0.592274653,
0.154179211,0.154571271,0.154356704,0.155164424,0.285705091,0.241183775,0.246834665,0.246374396,0.339811789,0.339363449,0.391407134,0.3949853,0.474097058,0.482155393,0.509473905,0.483168318,0.588011211,
0.155839489,0.154560022,0.154179211,0.154202098,0.195532034,0.308136451,0.246811877,0.247266672,0.340199168,0.339363449,0.339490043,0.394901786,0.411875159,0.48211628,0.506584275,0.503479594,0.588394099,
0.189780928,0.15469733,0.154356704,0.154935626,0.165537699,0.241183775,0.246873409,0.246564011,0.307145075,0.307494611,0.391349656,0.420344688,0.440087226,0.472391797,0.47280807,0.499544,0.588652042,
0.166904479,0.155938086,0.159572618,0.154630325,0.193784034,0.180412629,0.24681204,0.246520009,0.339531955,0.323436171,0.391779895,0.430936643,0.47392065,0.468434072,0.508394,0.503530589,0.588800523,
0.154140849,0.154578663,0.154324222,0.154562005,0.250312152,0.240895629,0.247158389,0.246440659,0.339977007,0.388390013,0.391526836,0.416923246,0.447756268,0.506430251,0.500184923,0.50201629,0.584380416,
0.15460048,0.155746622,0.235493189,0.15483131,0.251019541,0.329716755,0.248486169,0.244093661,0.306635462,0.307494611,0.396984446,0.394897651,0.5040503,0.46844072,0.500642795,0.508871112,0.588915891,
0.154575744,0.15494837,0.155009461,0.154527205,0.338013248,0.330989334,0.247575819,0.244107214,0.30750613,0.339579883,0.35521846,0.419425133,0.4696577,0.472818502,0.506031363,0.500176872,0.587237571,
0.154575744,0.155938086,0.158652286,0.15410248,0.239193512,0.236726856,0.24688204,0.250294899,0.33959252,0.342231122,0.339531576,0.453559912,0.474097058,0.472718034,0.474811967,0.535832513,0.508998815,
0.155649229,0.154970708,0.154950127,0.154527205,0.20982698,0.292816954,0.247391954,0.246443004,0.338328402,0.33945866,0.391392706,0.424488178,0.440138168,0.47275952,0.513760392,0.537040929,0.560776814,
0.190148262,0.154367752,0.157372218,0.154430157,0.29390121,0.328503889,0.246825597,0.246969342,0.353317845,0.309242889,0.40589605,0.407834158,0.439283946,0.472442333,0.442667657,0.536480345,0.560451797,
0.154575744,0.15494314,0.154160449,0.341991432,0.296667979,0.240895629,0.246848471,0.246458813,0.278670839,0.307039563,0.3822108,0.430927061,0.394473017,0.472355075,0.509722628,0.50177646,0.557614093,
0.154570423,0.154179211,0.154678167,0.191844325,0.296451869,0.164840955,0.247036728,0.244107214,0.297982832,0.308916707,0.391380815,0.431332082,0.439913306,0.474126252,0.501467599,0.536814897,0.565897852,
0.156295142,0.154418215,0.153337709,0.191082657,0.163233698,0.168276745,0.244243966,0.246435053,0.318850997,0.309940164,0.391538203,0.416833894,0.474404413,0.481663513,0.517466658,0.524658159,0.588816491,
0.154179211,0.246351612,0.153630012,0.154176283,0.163510378,0.336089853,0.245835157,0.246520009,0.295983543,0.391216684,0.391519744,0.393697943,0.439198135,0.472467517,0.521378207,0.500630894,0.544748801,
0.15461015,0.156056068,0.155377227,0.154135959,0.163024473,0.34474556,0.249177802,0.24630968,0.311834537,0.240627166,0.39170154,0.437222127,0.474213232,0.472345794,0.537420403,0.551127108,0.561819819,
0.154571271,0.155296428,0.154179211,0.155122291,0.162827466,0.19632581,0.246833176,0.246374396,0.313148474,0.241713397,0.391380815,0.416923246,0.474124705,0.472326801,0.513849552,0.539585111,0.562614512,
0.154560022,0.160411211,0.154179211,0.154176283,0.192905672,0.337372803,0.252952912,0.244229729,0.319025012,0.337378505,0.39144158,0.42809418,0.375785051,0.501778727,0.501356308,0.501274516,0.555772518,
0.15469733,0.15397671,0.156751249,0.154179211,0.162407179,0.349443219,0.248995433,0.248027304,0.339201618,0.338063989,0.3913058,0.417209645,0.474097058,0.473281026,0.510488104,0.51696428,0.560830884,
0.155938086,0.156507939,0.154575744,0.156470158,0.162651212,0.361845969,0.245890546,0.246374396,0.293633667,0.337316066,0.391380815,0.444280421,0.474650009,0.472442333,0.485435021,0.546864192,0.560336326,
0.154578663,0.154335364,0.184803531,0.154812411,0.162754581,0.38142554,0.246954182,0.244107214,0.289720424,0.336936387,0.391380815,0.404043965,0.47623362,0.472674489,0.505298835,0.456269196,0.562276523,
0.155746622,0.154678733,0.154575744,0.153897416,0.162335283,0.38897301,0.251121127,0.244217949,0.297823859,0.338139515,0.39134264,0.416923246,0.39437457,0.473853647,0.507538965,0.524342202,0.559469482,
0.15494837,0.152934028,0.154575744,0.162989304,0.167169257,0.386133183,0.245807943,0.246374396,0.327181113,0.382025031,0.391433379,0.415987425,0.39430207,0.473010193,0.500157381,0.535827709,0.579768954,
0.155938086,0.168196179,0.155384594,0.162523139,0.167338734,0.38900499,0.249266696,0.308688368,0.300168745,0.364734979,0.391380815,0.43581884,0.417503764,0.471946918,0.534603161,0.456465083,0.560408066,
0.154970708,0.154274709,0.156962079,0.241329315,0.345180342,0.287199756,0.250381076,0.201319305,0.33797959,0.339628503,0.391252742,0.186655517,0.446028973,0.472333443,0.511402975,0.53684374,0.559990783,
0.154367752,0.153848944,0.154137693,0.240571717,0.345027607,0.335680873,0.249121313,0.176242944,0.245535426,0.346453822,0.392013147,0.436134835,0.440495172,0.482046185,0.5004435,0.547616515,0.519130486,
0.15494314,0.154213683,0.154575744,0.15397671,0.195380002,0.194308982,0.24681204,0.308702298,0.339123503,0.339525746,0.391426048,0.472010366,0.418413454,0.473226606,0.504722785,0.537381609,0.562523838,
0.154179211,0.154228956,0.155797244,0.155320483,0.194372753,0.312340981,0.245702296,0.204658286,0.350887997,0.364186798,0.391413456,0.394866687,0.473801293,0.502705383,0.523082531,0.530759243,0.588800523,
0.154418215,0.15622452,0.153980426,0.154955485,0.162832028,0.309913022,0.192777643,0.176148763,0.302008219,0.362389606,0.391298729,0.185473127,0.471855596,0.482039027,0.505980457,0.538331476,0.562949602,
0.246351612,0.168413817,0.154179211,0.154356704,0.254461321,0.195133882,0.322583443,0.304102195,0.420962686,0.338883663,0.415136899,0.43581884,0.481894475,0.476123097,0.420746069,0.537570621,0.555516108,
0.156056068,0.193613365,0.155839489,0.156638572,0.28581778,0.194376841,0.320305666,0.304015091,0.420999648,0.391192745,0.391380815,0.43581884,0.408054826,0.502539268,0.507538965,0.529788995,0.589231025,
0.155296428,0.154562161,0.189780928,0.154611893,0.236949914,0.241987218,0.34524143,0.299322033,0.309183705,0.377585351,0.340361493,0.43581884,0.50441359,0.482122759,0.498355271,0.547793906,0.588976918,
0.160411211,0.154836066,0.166904479,0.159686388,0.162424437,0.296829557,0.34524143,0.196375518,0.310454685,0.358043611,0.391469377,0.428504566,0.503881373,0.473557978,0.515655383,0.537865209,0.589039919,
0.15397671,0.1556507,0.154140849,0.154562051,0.284996478,0.239359993,0.345998136,0.349773463,0.310088449,0.353484063,0.391320342,0.435758367,0.474071478,0.509996,0.535662198,0.536878911,0.562751765,
0.156507939,0.154093229,0.15460048,0.246351612,0.193790814,0.286231526,0.245706877,0.243019892,0.301780412,0.377978991,0.400286454,0.435792335,0.476402949,0.472442333,0.500224739,0.502864149,0.58701156,
0.154335364,0.153630012,0.154575744,0.240402712,0.1694004,0.194350155,0.346593671,0.243104221,0.300221803,0.379359612,0.391326286,0.395038476,0.474635287,0.4729831,0.498687271,0.528950743,0.555434221,
0.154678733,0.156456418,0.154575744,0.155839489,0.165770178,0.286152595,0.346986519,0.244161123,0.3000724,0.374431938,0.391380815,0.394212211,0.472997987,0.472442333,0.516917676,0.507398084,0.575222051,
0.152934028,0.154135638,0.155649229,0.154427057,0.164254998,0.244409912,0.346624581,0.306608999,0.300295245,0.365962674,0.391380815,0.395052975,0.4739137,0.481560806,0.507355596,0.508833543,0.592274653,
0.168196179,0.154209638,0.190148262,0.154307944,0.307760791,0.242384978,0.346365356,0.300088753,0.300692078,0.393898481,0.391399545,0.194665728,0.473797536,0.473281026,0.479319569,0.508431908,0.581071823,
0.154274709,0.161713088,0.154575744,0.154179211,0.160035638,0.24208447,0.346949564,0.300047277,0.300079681,0.390818468,0.391148672,0.39497237,0.474097058,0.472818502,0.506822411,0.504421466,0.588681443,
0.153848944,0.154328591,0.154570423,0.154492995,0.163172483,0.286508878,0.246309334,0.300336055,0.299885385,0.391707647,0.391428209,0.393689868,0.474085464,0.472689574,0.506754362,0.498023087,0.561040168,
0.154213683,0.154418087,0.156295142,0.154160229,0.192186891,0.194408987,0.245770075,0.305477357,0.241693224,0.339226259,0.391308162,0.413592636,0.474094353,0.502017238,0.535265433,0.504775666,0.572815968,
0.15622452,0.153852452,0.15461015,0.154326847,0.242117286,0.241479206,0.246711621,0.29945062,0.244087068,0.312658669,0.391380815,0.436815253,0.474157937,0.489679471,0.506059128,0.537649274,0.576637214,
0.168413817,0.172151306,0.154571271,0.164332066,0.242525534,0.240895629,0.247999824,0.339754875,0.243997208,0.339877649,0.407888365,0.419932375,0.474383851,0.473023137,0.488465132,0.537440121,0.464000704,
0.193613365,0.154935725,0.154560022,0.154179211,0.313250623,0.194447442,0.24681204,0.243669408,0.242923316,0.33897766,0.39137987,0.420091129,0.474597388,0.514993779,0.499524864,0.506127422,,
0.154562161,0.154232256,0.15469733,0.154283992,0.260569013,0.174282637,0.245036887,0.244155092,0.243176678,0.339432957,0.391686726,0.428709441,0.473681036,0.473551819,0.505527729,0.508988148,,
0.154836066,0.157359564,0.155938086,0.172222176,0.167977648,0.241950562,0.246978497,0.243669408,0.243212878,0.391205979,0.391632648,0.42648093,0.474054376,0.472515132,0.474271366,0.51858842,,
0.1556507,0.154180969,0.154578663,0.155384108,0.256394776,0.241843639,0.24681204,0.243089484,0.306987413,0.341640474,0.382222255,0.426432842,0.474800747,0.47829526,0.499734808,0.517639235,,
0.154093229,0.164628847,0.155746622,0.165489496,0.167518402,0.241641654,0.246773691,0.244107214,0.302218917,0.339401369,0.391309423,0.420091129,0.473238081,0.472312162,0.487841821,0.478521391,,
0.153630012,0.191082657,0.15494837,0.155822818,0.162316701,0.194725555,0.246062671,0.24671398,0.306820524,0.339308402,0.379138915,0.432527286,0.473425777,0.502430501,0.481515535,0.53330416,,
0.156456418,0.15397671,0.155938086,0.15430718,0.165065154,0.19567599,0.246482761,0.244107214,0.314365666,0.378014386,0.391227248,0.426940032,0.48231206,0.473100511,0.500583535,0.50077829,,
0.154135638,0.155068478,0.154970708,0.154447115,0.162351741,0.19581819,0.24681204,0.244107214,0.342821456,0.339350007,0.391411887,0.42228669,0.462546659,0.480855353,0.520979676,0.529239885,,
0.154209638,0.245271523,0.154367752,0.191230241,0.162351741,0.195744556,0.246842614,0.245636135,0.304397708,0.339363449,0.395408897,0.43870557,0.473582335,0.504344671,0.483376185,0.506233043,,
0.161713088,0.171215763,0.15494314,0.15186398,0.162897651,0.339883726,0.243338864,0.244802927,0.302112851,0.339363449,0.391380815,0.431241065,0.474909883,0.501971084,0.474869514,0.518092611,,
0.154328591,0.153112382,0.154179211,0.160181114,0.193784034,0.241267844,0.246711629,0.244880239,0.303932207,0.339718411,0.391406081,0.443889607,0.47412073,0.501627059,0.473043989,0.507684321,,
0.154418087,0.191082657,0.154418215,0.154179211,0.162958355,0.241183775,0.247215593,0.244107214,0.307585375,0.37973685,0.398513869,0.245031957,0.474055813,0.472405772,0.515287381,0.501781357,,
0.153852452,0.31703471,0.246351612,0.156192536,0.174979944,0.194579942,0.245956557,0.24425737,0.308651021,0.341265307,0.391468276,0.384009336,0.473412465,0.505263792,0.483535853,0.537032772,,
0.172151306,0.154697984,0.156056068,0.156456418,0.162740011,0.194496089,0.255816781,0.244148091,0.339501129,0.339804878,0.384555644,0.41991432,0.473709545,0.503394451,0.484154525,0.481041161,,
0.154935725,0.154179211,0.155296428,0.154540497,0.254461321,0.194408987,0.247601452,0.252289521,0.307648843,0.334701593,0.391380815,0.432711764,0.474160873,0.472551645,0.482221883,0.508355965,,
0.154232256,0.154710787,0.160411211,0.191489877,0.243165494,0.166024571,0.24681204,0.252289521,0.339563222,0.334681768,0.391302388,0.438720062,0.474145773,0.50131484,0.505250341,0.507885761,,
0.157359564,0.154149216,0.156507939,0.155009787,0.165042954,0.341737002,0.245809888,0.245022058,0.339322962,0.396451962,0.391380815,0.437868391,0.474097058,0.472745926,0.499713714,0.508988148,,
0.154180969,0.154119688,0.154335364,0.155006873,0.240347567,0.343732934,0.245807943,0.306671312,0.307845838,0.33955724,0.395170964,0.425890654,0.474607797,0.501501871,0.520928991,0.517258106,,
0.164628847,0.155353784,0.154678733,0.178464401,0.174979944,0.240895629,0.246909094,0.298963169,0.302161088,0.339458413,0.391275579,0.437311335,0.453502937,0.48348813,0.506059128,0.530482763,,
0.191082657,0.155004826,0.152934028,0.154179211,0.162351741,0.240941236,0.24593681,0.24405934,0.304011094,0.308847424,0.392074409,0.396621202,0.47345794,0.477892909,0.472701622,0.529073203,,
0.15397671,0.155042848,0.168196179,0.154179211,0.163581105,0.287199756,0.24681204,0.29068347,0.430983092,0.320118893,0.391350007,0.454815148,0.462438116,0.473096402,0.499110063,0.500805493,,
0.155068478,0.154492995,0.154274709,0.154179211,0.189862389,0.255294765,0.245807943,0.246598377,0.307547813,0.307403649,0.391380815,0.395777875,0.473864584,0.472882329,0.503486528,0.532752237,,
0.245271523,0.170598191,0.153848944,0.153207684,0.161381008,0.295891515,0.246266465,0.244327798,0.339898318,0.305011303,0.391413576,0.395022062,0.473146634,0.472819072,0.49910983,0.486981543,,
0.171215763,0.154179211,0.154213683,0.154372202,0.162351741,0.295427233,0.250142674,0.244622548,0.339026721,0.339387395,0.391380815,0.401905695,0.473324027,0.472481796,0.499482777,0.472257158,,
0.153112382,0.168104105,0.154228956,0.154372202,0.162351741,0.241881704,0.247313012,0.244622548,0.339551618,0.391404463,0.339380851,0.394791773,0.474569951,0.483676452,0.475957862,0.530299475,,
0.191082657,0.156593686,0.15622452,0.153837122,0.162893004,0.292516271,0.246804127,0.244387691,0.243317733,0.364236511,0.391380815,0.395089991,0.462288799,0.4727941,0.511952658,0.508995851,,
0.31703471,0.154179211,0.168413817,0.244456842,0.165065154,0.241267035,0.248900127,0.238793787,0.244112802,0.30809251,0.391380815,0.395002772,0.472798154,0.490655098,0.503630204,0.532752237,,
0.154697984,0.154176283,0.193613365,0.24790405,0.240347567,0.250680641,0.247931488,0.238906253,0.243734608,0.312569588,0.393953789,0.394976462,0.473833258,0.504487791,0.499952954,0.518467573,,
0.154179211,0.216816045,0.154562161,0.256330735,0.183521258,0.194237313,0.24681204,0.241688606,0.243177119,0.308852104,0.391608372,0.3949853,0.474207716,0.507217797,0.50216048,0.519097812,,
0.154710787,0.195408406,0.154836066,0.246336245,0.163124871,0.23862576,0.248193492,0.243159153,0.243941518,0.339096614,0.415136899,0.395017533,0.474161168,0.508166487,0.520214464,0.48155303,,
0.154149216,0.154429538,0.1556507,0.246336245,0.16334548,0.240983122,0.246913821,0.246374396,0.243365236,0.339450716,0.391418202,0.394978248,0.475223756,0.473587923,0.533527304,0.505046525,,
0.154119688,0.154720785,0.154093229,0.246008984,0.162355185,0.311459637,0.247178273,0.244163,0.332907646,0.307081732,0.391602522,0.426821899,0.474097058,0.503764806,0.504432988,0.546314531,,
0.155353784,0.153832632,0.156456418,0.157459645,0.193784034,0.241902753,0.246842251,0.243310203,0.244162172,0.339483177,0.391190299,0.431936415,0.476100974,0.482122759,0.503711649,0.518903932,,
0.156638572,0.155265691,0.154135638,0.237269985,0.195380002,0.241859583,0.248583869,0.300388806,0.243176678,0.307668739,0.391814874,0.474160967,0.473951051,0.503536879,0.499802622,0.498954584,,
0.155986578,0.156951545,0.154209638,0.171004989,0.254461321,0.243032728,0.249944342,0.299940007,0.243845611,0.339071234,0.395458313,0.395037462,0.473961532,0.471666208,0.541267707,0.518920544,,
0.15527185,0.154242896,0.154328591,0.155239893,0.162635795,0.194582351,0.246801679,0.307017142,0.244580078,0.339363449,0.391301239,0.435773527,0.472119406,0.472818502,0.537580955,0.518145899,,
0.155036894,0.154731139,0.154418087,0.154033473,0.162395968,0.241281648,0.245807943,0.306424005,0.243414759,0.339708495,0.391385086,0.43581884,0.474113274,0.473274632,0.499189461,0.490519889,,
0.155230856,0.154437437,0.153852452,0.154575744,0.177844347,0.3445573,0.245908294,0.244107214,0.24593743,0.339373493,0.393371408,0.423077286,0.474097058,0.503143173,0.521939497,0.518216002,,
