2020-Jan-Mar,2020-Apr-Jun,2020-Jul-Sep,2020-Oct-Dec,2021-Jan-Mar,2021-Apr-Jun,2021-Jul-Sep,2021-Oct-Dec,2022-Jan-Mar,2022-Apr-Jun,2022-Jul-Sep,2022-Oct-Dec,2023-Jan-Mar,2023-Apr-Jun,2023-Jul-Sep,2023-Oct-Dec,2024-Jan-Mar,2024-Apr-May
0.201894658,0.202008872,0.201894658,0.202313742,0.218178198,0.2646519,0.374502386,0.37756325,0.596606878,0.596420306,0.596576006,0.60494022,0.709931918,0.874202324,0.833181532,0.87909444,0.937838348,0.957827868
0.202008872,0.201894658,0.202008872,0.202008872,0.206604762,0.2646519,0.377768894,0.37702422,0.596606878,0.596420306,0.596576006,0.60494022,0.732564864,0.838269654,0.833456598,0.921753994,0.947419352,0.939969772
0.201611268,0.202210236,0.202008872,0.202293608,0.256425424,0.26485704,0.37772056,0.373929326,0.596606878,0.63587641,0.636163458,0.641459042,0.723842208,0.216072706,0.890520586,0.921886076,0.957959476,0.935363484
0.20152993,0.201611268,0.20332202,0.202008872,0.256236062,0.209198038,0.371064076,0.376982548,0.635249502,0.597396766,0.597515392,0.606096072,0.715277264,0.874441254,0.835057938,0.922498608,0.9381077,0.93767876
0.204188906,0.201737344,0.202008872,0.203736168,0.271199164,0.265102138,0.385187228,0.361058004,0.597638282,0.59642058,0.59656613,0.604905818,0.747513722,0.862214372,0.893479014,0.905998142,0.950064752,0.937812898
0.201894658,0.202838072,0.201856696,0.206405004,0.270216074,0.208232242,0.38202719,0.374200132,0.596546078,0.596810556,0.60360458,0.71139937,0.747266512,0.873236442,0.892442132,0.92173306,0.944860706,0.950174832
0.298741408,0.207059084,0.205529064,0.20243961,0.213777952,0.29281137,0.38169386,0.375226016,0.520292962,0.362240786,0.7021055,0.71139937,0.747014292,0.879796664,0.934338318,0.927188682,0.95978165,0.957827868
0.20559317,0.201894658,0.202008872,0.203137616,0.270318776,0.251833878,0.383973904,0.36061006,0.596606878,0.596354692,0.701931832,0.71591435,0.74724752,0.872987986,0.83528782,0.888061452,0.93580925,0.951684244
0.201976324,0.201894658,0.20613509,0.20193311,0.262073272,0.218230328,0.378077938,0.506593248,0.52510467,0.598983532,0.70212478,0.71139937,0.727758044,0.873481418,0.832260902,0.92223492,0.95978165,0.957827868
0.201670176,0.263299006,0.202664796,0.20632062,0.37125856,0.270921328,0.37707284,0.490699398,0.373563394,0.603302716,0.707824034,0.750865402,0.782413034,0.87417443,0.881765272,0.92214703,0.945669902,
0.223791072,0.201816148,0.201768208,0.202495056,0.371496228,0.357729648,0.377592834,0.374200132,0.59657112,0.556206188,0.674487096,0.743307354,0.747932342,0.849991754,0.835852568,0.924004222,0.937834892,
0.20197994,0.202535082,0.202792726,0.202745002,0.26171886,0.358021824,0.378077938,0.506965012,0.50586181,0.701743598,0.60351894,0.708761892,0.747513722,0.87429026,0.872557142,0.913276838,0.960203626,
0.202210236,0.20613509,0.202313742,0.202313742,0.26566254,0.357197798,0.370908486,0.37702422,0.524885466,0.701743598,0.724128374,0.71591435,0.709931918,0.872994,0.591835084,0.920816832,0.949028828,
0.202008516,0.20613509,0.2023152,0.202577238,0.273355738,0.357729648,0.280066416,0.377879402,0.59587458,0.596278752,0.70212478,0.74145872,0.746722,0.874130538,0.698277908,0.921991294,0.936349768,
0.202165368,0.20613509,0.202008872,0.20205676,0.467907094,0.282710958,0.281440042,0.38082074,0.525677076,0.598324668,0.598453662,0.77560735,0.709885034,0.77338389,0.77454343,0.834292006,0.95801979,
0.213413146,0.206481324,0.202008872,0.20306291,0.210733198,0.208272118,0.280893732,0.37773788,0.52510467,0.59652664,0.597005576,0.71139937,0.783884084,0.771549596,0.769861864,0.92144088,0.9544084,
0.201667034,0.206994134,0.203832492,0.203832492,0.307512292,0.25579313,0.280868322,0.229673574,0.525196222,0.597208098,0.596576006,0.711992792,0.709931918,0.773563322,0.771545162,0.92112612,0.936275162,
0.202008872,0.205913942,0.202556138,0.203005562,0.35827486,0.260068416,0.277452008,0.282711728,0.596621492,0.621801432,0.70200946,0.71139937,0.70972815,0.83085913,0.833456598,0.89348417,0.9381077,
0.202726314,0.20613509,0.202146304,0.202313742,0.373210748,0.255763324,0.381635452,0.282723718,0.596810762,0.596371144,0.701297754,0.712529014,0.764081478,0.881109088,0.871856806,0.921645858,0.959164072,
0.202085626,0.206584374,0.203137616,0.203539214,0.272194172,0.27004022,0.381650576,0.227923796,0.52488456,0.596420306,0.59556407,0.711482028,0.74478265,0.827902266,0.882080574,0.898391592,0.801402828,
0.201894658,0.212662708,0.2021514,0.202008872,0.286118538,0.272174612,0.38169386,0.23010781,0.50553148,0.596347186,0.596576006,0.805044016,0.709931918,0.82943631,0.882433394,0.90414932,0.936681734,
0.203533818,0.202008872,0.21505855,0.202060736,0.244237066,0.26975203,0.381403308,0.229378112,0.377252494,0.598174006,0.7018404,0.710799516,0.78224528,0.836643132,0.882490662,0.916817244,0.960203626,
0.372535164,0.20606946,0.202293608,0.202352936,0.270645604,0.312359848,0.381780694,0.503523916,0.524213392,0.59643295,0.711050546,0.743838394,0.781533336,0.84468826,0.829814114,0.904592052,0.95856482,
0.205814254,0.220004956,0.20236242,0.202789232,0.270611494,0.27017619,0.38229262,0.37041123,0.515277526,0.596420306,0.70212478,0.711915852,0.777292402,0.874724798,0.837407368,0.904592052,0.95808921,
0.206594228,0.216294196,0.207073748,0.21649431,0.220239936,0.270099454,0.381360464,0.378553156,0.524559712,0.5983172,0.596596216,0.711651272,0.835469892,0.843520554,0.83063602,0.894260092,0.9381077,
0.201848848,0.206074402,0.263299006,0.202493654,0.207768568,0.270147142,0.38169386,0.37857072,0.515947404,0.597933268,0.70212478,0.714475636,0.811061566,0.83663827,0.87083981,0.893675578,0.94652424,
0.202535082,0.206264934,0.274852284,0.21835677,0.206442852,0.270700764,0.382032602,0.382234748,0.517642754,0.597689706,0.597798978,0.71139937,0.82113173,0.829996056,0.872627332,0.918794932,0.947676812,
0.20613509,0.20613509,0.272908444,0.202008872,0.220686298,0.370311842,0.381637712,0.378553156,0.52508713,0.59651975,0.696103428,0.708761892,0.81578572,0.835895772,0.88177076,0.924446704,0.95978165,
0.20613509,0.20613509,0.202358324,0.202611314,0.271719156,0.37471664,0.38169386,0.378348452,0.524931528,0.596352804,0.676984744,0.711438536,0.747529588,0.82943631,0.888593058,0.920563896,0.95978165,
0.20613509,0.206551802,0.203105802,0.202313742,0.27991265,0.270298636,0.381674006,0.377558402,0.52510467,0.596534408,0.699560888,0.71151437,0.768178108,0.829796112,0.833456598,0.913739842,0.93344433,
0.206481324,0.225338298,0.225901936,0.20197074,0.371037172,0.270363996,0.382156086,0.377224188,0.525085588,0.596420306,0.674711118,0.709431092,0.709915652,0.874526182,0.88767656,0.913015374,0.937647958,
0.206994134,0.20613509,0.202182036,0.205087112,0.307558776,0.27004022,0.381695458,0.378553156,0.52596056,0.596525362,0.701867408,0.723950612,0.72140835,0.836415984,0.833422294,0.926166168,0.9463236,
0.205913942,0.20274689,0.202008872,0.21505855,0.373768784,0.270073128,0.381568108,0.378608946,0.52490085,0.62190669,0.702073328,0.71591435,0.747629806,0.838226778,0.888593058,0.921886076,0.93250032,
0.20613509,0.214982822,0.215794506,0.20242721,0.281565392,0.272889878,0.381764008,0.378553156,0.598554294,0.695757088,0.699560888,0.71151437,0.37013536,0.82943631,0.872841772,0.908284422,0.958687,
